Short Codes ,Utility,MRP Poll Sheet,Con,Lab,LD,Green,SNP,PC,Reform,Other,Single Top Progressive
UKPARL.2025.BAA,4,FocalData MRP (List),13.54%,57.62%,4.60%,5.29%,,,18.94%,,Lab
UKPARL.2025.BAA,5,AVERAGE,14.44%,57.68%,4.53%,4.21%,0.00%,0.00%,19.14%,0.00%,TRUE
UKPARL.2025.BAB,1,YOUGOV MRPs (List),26.00%,28.00%,11.00%,5.00%,0.00%,0.00%,30.00%,1.00%,Lab
UKPARL.2025.BAB,2,IPSOS MRP (List),33.00%,38.00%,6.00%,4.00%,NA,NA,17.00%,1.00%,Lab
UKPARL.2025.BAB,3,Survation MRP (List),31.60%,33.49%,5.12%,4.07%,NI,NI,23.50%,2.23%,Lab
UKPARL.2025.BAB,4,FocalData MRP (List),37.42%,29.11%,6.92%,4.93%,,,21.40%,,Lab
UKPARL.2025.BAB,5,AVERAGE,32.01%,32.15%,7.26%,4.50%,0.00%,0.00%,22.97%,1.41%,TRUE
UKPARL.2025.BAC,1,YOUGOV MRPs (List),12.00%,53.00%,7.00%,7.00%,0.00%,0.00%,21.00%,0.00%,Lab
UKPARL.2025.BAC,2,IPSOS MRP (List),17.00%,53.00%,4.00%,5.00%,NA,NA,20.00%,0.00%,Lab
UKPARL.2025.BAC,3,Survation MRP (List),16.26%,52.00%,7.10%,2.44%,NI,NI,20.58%,1.61%,Lab
UKPARL.2025.BAC,4,FocalData MRP (List),15.84%,53.11%,4.41%,4.76%,,,20.96%,,Lab
UKPARL.2025.BAC,5,AVERAGE,15.27%,52.78%,5.63%,4.80%,0.00%,0.00%,20.63%,0.54%,TRUE
UKPARL.2025.BAF,1,YOUGOV MRPs (List),33.00%,41.00%,8.00%,4.00%,0.00%,0.00%,15.00%,0.00%,Lab
UKPARL.2025.BAF,2,IPSOS MRP (List),33.00%,29.00%,15.00%,6.00%,NA,NA,16.00%,NA,Lab
UKPARL.2025.BAF,3,Survation MRP (List),30.12%,33.55%,12.46%,11.62%,NI,NI,12.25%,NI,Lab
UKPARL.2025.BAF,4,FocalData MRP (List),33.28%,28.98%,14.49%,5.12%,,,18.12%,,Lab
UKPARL.2025.BAF,5,AVERAGE,32.35%,33.13%,12.49%,6.69%,0.00%,0.00%,15.34%,0.00%,TRUE
UKPARL.2025.BAI,1,YOUGOV MRPs (List),16.00%,47.00%,10.00%,12.00%,0.00%,0.00%,11.00%,4.00%,Lab
UKPARL.2025.BAI,2,IPSOS MRP (List),17.00%,58.00%,10.00%,6.00%,NA,NA,7.00%,2.00%,Lab
UKPARL.2025.BAI,3,Survation MRP (List),20.01%,40.48%,15.32%,7.96%,NI,NI,10.36%,5.89%,Lab
UKPARL.2025.BAI,4,FocalData MRP (List),14.50%,55.34%,11.61%,6.21%,,,10.23%,,Lab
UKPARL.2025.BAI,5,AVERAGE,16.88%,50.20%,11.73%,8.04%,0.00%,0.00%,9.65%,3.96%,TRUE
UKPARL.2025.BAL,1,YOUGOV MRPs (List),7.00%,38.00%,5.00%,4.00%,31.00%,0.00%,9.00%,5.00%,Lab
UKPARL.2025.BAL,2,IPSOS MRP (List),12.00%,40.00%,7.00%,3.00%,29.00%,NA,6.00%,1.00%,Lab
UKPARL.2025.BAL,3,Survation MRP (List),13.50%,35.82%,4.22%,2.78%,38.10%,NI,3.90%,1.70%,SNP
UKPARL.2025.BAL,4,FocalData MRP (List),11.61%,36.03%,7.53%,4.50%,27.93%,,11.99%,,Lab
UKPARL.2025.BAL,5,AVERAGE,11.03%,37.46%,5.94%,3.57%,31.51%,0.00%,7.72%,2.57%,FALSE
UKPARL.2025.BAN,1,YOUGOV MRPs (List),28.00%,41.00%,10.00%,5.00%,0.00%,0.00%,16.00%,1.00%,Lab
UKPARL.2025.BAN,2,IPSOS MRP (List),30.00%,40.00%,10.00%,6.00%,NA,NA,12.00%,0.00%,Lab
UKPARL.2025.BAN,3,Survation MRP (List),28.49%,27.82%,17.65%,13.89%,NI,NI,10.93%,1.21%,Lab
UKPARL.2025.BAN,4,FocalData MRP (List),26.61%,30.40%,23.29%,4.73%,,,14.78%,,Lab
UKPARL.2025.BAN,5,AVERAGE,28.27%,34.81%,15.23%,7.40%,0.00%,0.00%,13.43%,0.74%,TRUE
UKPARL.2025.BAO,1,YOUGOV MRPs (List),35.00%,24.00%,14.00%,4.00%,0.00%,0.00%,22.00%,0.00%,Lab
UKPARL.2025.BAO,2,IPSOS MRP (List),36.00%,26.00%,10.00%,6.00%,NA,NA,20.00%,0.00%,Lab
UKPARL.2025.BAO,3,Survation MRP (List),39.26%,26.00%,14.74%,5.15%,NI,NI,13.01%,1.84%,Lab
UKPARL.2025.BAO,4,FocalData MRP (List),41.11%,22.75%,12.28%,4.17%,,,19.46%,,Lab
UKPARL.2025.BAO,5,AVERAGE,37.84%,24.69%,12.75%,4.83%,0.00%,0.00%,18.62%,0.61%,TRUE
UKPARL.2025.BAP,1,YOUGOV MRPs (List),18.00%,44.00%,14.00%,8.00%,0.00%,0.00%,15.00%,0.00%,Lab
UKPARL.2025.BAP,2,IPSOS MRP (List),23.00%,53.00%,8.00%,6.00%,NA,NA,10.00%,NA,Lab
UKPARL.2025.BAP,3,Survation MRP (List),26.78%,39.93%,13.95%,9.34%,NI,NI,10.00%,NI,Lab
UKPARL.2025.BAP,4,FocalData MRP (List),20.60%,49.60%,12.15%,6.27%,,,11.38%,,Lab
UKPARL.2025.BAP,5,AVERAGE,22.09%,46.63%,12.03%,7.40%,0.00%,0.00%,11.59%,0.00%,TRUE
UKPARL.2025.BAS,1,YOUGOV MRPs (List),37.00%,26.00%,5.00%,2.00%,0.00%,0.00%,29.00%,0.00%,Lab
UKPARL.2025.BAS,2,IPSOS MRP (List),34.00%,23.00%,5.00%,4.00%,NA,NA,31.00%,1.00%,Lab
UKPARL.2025.BAS,3,Survation MRP (List),42.91%,27.26%,5.30%,0.85%,NI,NI,21.52%,2.15%,Lab
UKPARL.2025.BAS,4,FocalData MRP (List),37.64%,23.06%,4.98%,3.10%,,,31.00%,,Lab
UKPARL.2025.BAS,5,AVERAGE,37.89%,24.83%,5.07%,2.49%,0.00%,0.00%,28.13%,1.05%,TRUE
UKPARL.2025.BAT,1,YOUGOV MRPs (List),18.00%,54.00%,11.00%,8.00%,0.00%,0.00%,8.00%,1.00%,Lab
UKPARL.2025.BAT,2,IPSOS MRP (List),18.00%,58.00%,5.00%,8.00%,NA,NA,9.00%,2.00%,Lab
UKPARL.2025.BAT,3,Survation MRP (List),28.28%,48.84%,9.93%,4.07%,NI,NI,5.13%,3.75%,Lab
UKPARL.2025.BAT,4,FocalData MRP (List),20.02%,52.90%,12.27%,6.15%,,,8.11%,,Lab
UKPARL.2025.BAT,5,AVERAGE,21.08%,53.44%,9.55%,6.56%,0.00%,0.00%,7.56%,2.25%,TRUE
UKPARL.2025.BAU,1,YOUGOV MRPs (List),29.00%,37.00%,6.00%,5.00%,0.00%,0.00%,22.00%,1.00%,Lab
UKPARL.2025.BAU,2,IPSOS MRP (List),31.00%,42.00%,5.00%,3.00%,NA,NA,16.00%,1.00%,Lab
UKPARL.2025.BAU,3,Survation MRP (List),32.57%,40.11%,4.61%,5.43%,NI,NI,14.19%,3.09%,Lab
UKPARL.2025.BAU,4,FocalData MRP (List),32.25%,39.72%,4.98%,4.88%,,,17.73%,,Lab
UKPARL.2025.BAU,5,AVERAGE,31.21%,39.71%,5.15%,4.58%,0.00%,0.00%,17.48%,1.70%,TRUE
UKPARL.2025.BBH,1,YOUGOV MRPs (List),33.00%,32.00%,15.00%,7.00%,0.00%,0.00%,13.00%,0.00%,Lab
UKPARL.2025.BBH,2,IPSOS MRP (List),32.00%,42.00%,9.00%,3.00%,NA,NA,12.00%,1.00%,Lab
UKPARL.2025.BBH,3,Survation MRP (List),28.84%,36.83%,8.94%,8.55%,NI,NI,15.31%,1.54%,Lab
UKPARL.2025.BBH,4,FocalData MRP (List),25.98%,37.90%,15.39%,5.21%,,,15.22%,,Lab
UKPARL.2025.BBH,5,AVERAGE,29.95%,37.18%,12.08%,5.94%,0.00%,0.00%,13.88%,0.85%,TRUE
UKPARL.2025.BBN,1,YOUGOV MRPs (List),12.00%,47.00%,4.00%,10.00%,0.00%,0.00%,14.00%,14.00%,Lab
UKPARL.2025.BBN,2,IPSOS MRP (List),15.00%,60.00%,4.00%,7.00%,NA,NA,10.00%,3.00%,Lab
UKPARL.2025.BBN,3,Survation MRP (List),17.14%,60.81%,1.86%,5.01%,NI,NI,11.37%,3.81%,Lab
UKPARL.2025.BBN,4,FocalData MRP (List),12.08%,63.34%,3.02%,4.30%,,,12.40%,,Lab
UKPARL.2025.BBN,5,AVERAGE,14.05%,57.79%,3.22%,6.58%,0.00%,0.00%,11.94%,6.94%,TRUE
UKPARL.2025.BCF,1,YOUGOV MRPs (List),38.00%,27.00%,11.00%,5.00%,0.00%,0.00%,19.00%,0.00%,Lab
UKPARL.2025.BCF,2,IPSOS MRP (List),34.00%,20.00%,24.00%,5.00%,NA,NA,14.00%,1.00%,LD
UKPARL.2025.BCF,3,Survation MRP (List),40.25%,21.59%,7.18%,6.67%,NI,NI,19.77%,4.55%,Lab
UKPARL.2025.BCF,4,FocalData MRP (List),36.43%,22.53%,7.00%,6.26%,,,22.96%,,Lab
UKPARL.2025.BCF,5,AVERAGE,37.17%,22.78%,12.29%,5.73%,0.00%,0.00%,18.93%,1.85%,FALSE
UKPARL.2025.BDE,1,YOUGOV MRPs (List),6.00%,59.00%,7.00%,8.00%,0.00%,0.00%,16.00%,4.00%,Lab
UKPARL.2025.BDE,2,IPSOS MRP (List),14.00%,56.00%,8.00%,10.00%,NA,NA,8.00%,3.00%,Lab
UKPARL.2025.BDE,3,Survation MRP (List),13.87%,46.60%,12.85%,11.69%,NI,NI,10.73%,4.26%,Lab
UKPARL.2025.BDE,4,FocalData MRP (List),10.70%,61.96%,6.94%,5.52%,,,14.20%,,Lab
UKPARL.2025.BDE,5,AVERAGE,11.14%,55.89%,8.70%,8.80%,0.00%,0.00%,12.23%,3.75%,TRUE
UKPARL.2025.BDS,1,YOUGOV MRPs (List),14.00%,48.00%,5.00%,9.00%,0.00%,0.00%,23.00%,1.00%,Lab
UKPARL.2025.BDS,2,IPSOS MRP (List),22.00%,51.00%,4.00%,6.00%,NA,NA,14.00%,1.00%,Lab
UKPARL.2025.BDS,3,Survation MRP (List),18.56%,48.53%,2.77%,9.21%,NI,NI,15.50%,5.43%,Lab
UKPARL.2025.BDS,4,FocalData MRP (List),21.49%,49.32%,4.58%,5.51%,,,18.71%,,Lab
UKPARL.2025.BDS,5,AVERAGE,19.01%,49.21%,4.09%,7.43%,0.00%,0.00%,17.80%,2.48%,TRUE
UKPARL.2025.BDW,1,YOUGOV MRPs (List),9.00%,50.00%,4.00%,11.00%,0.00%,0.00%,8.00%,18.00%,Lab
UKPARL.2025.BDW,2,IPSOS MRP (List),11.00%,64.00%,4.00%,11.00%,NA,NA,5.00%,4.00%,Lab
UKPARL.2025.BDW,3,Survation MRP (List),8.47%,70.79%,1.80%,9.10%,NI,NI,6.24%,3.59%,Lab
UKPARL.2025.BDW,4,FocalData MRP (List),6.28%,72.94%,3.38%,6.88%,,,9.31%,,Lab
UKPARL.2025.BDW,5,AVERAGE,8.69%,64.43%,3.30%,9.49%,0.00%,0.00%,7.14%,8.53%,TRUE
UKPARL.2025.BEA,1,YOUGOV MRPs (List),8.00%,68.00%,5.00%,10.00%,0.00%,0.00%,8.00%,0.00%,Lab
UKPARL.2025.BEA,2,IPSOS MRP (List),14.00%,62.00%,5.00%,9.00%,NA,NA,7.00%,3.00%,Lab
UKPARL.2025.BEA,3,Survation MRP (List),16.79%,44.69%,11.79%,7.96%,NI,NI,6.77%,12.01%,Lab
UKPARL.2025.BEA,4,FocalData MRP (List),13.36%,66.15%,5.74%,5.63%,,,7.95%,,Lab
UKPARL.2025.BEA,5,AVERAGE,13.04%,60.21%,6.88%,8.15%,0.00%,0.00%,7.43%,5.00%,TRUE
UKPARL.2025.BEB,1,YOUGOV MRPs (List),16.00%,55.00%,6.00%,8.00%,0.00%,0.00%,15.00%,0.00%,Lab
UKPARL.2025.BEB,2,IPSOS MRP (List),21.00%,50.00%,6.00%,9.00%,NA,NA,11.00%,2.00%,Lab
UKPARL.2025.BEB,3,Survation MRP (List),21.56%,51.36%,7.82%,6.97%,NI,NI,8.11%,4.19%,Lab
UKPARL.2025.BEB,4,FocalData MRP (List),21.42%,54.95%,6.32%,5.15%,,,11.65%,,Lab
UKPARL.2025.BEB,5,AVERAGE,20.00%,52.83%,6.54%,7.28%,0.00%,0.00%,11.44%,2.06%,TRUE
UKPARL.2025.BED,1,YOUGOV MRPs (List),18.00%,49.00%,9.00%,7.00%,0.00%,0.00%,17.00%,0.00%,Lab
UKPARL.2025.BED,2,IPSOS MRP (List),21.00%,53.00%,5.00%,7.00%,NA,NA,11.00%,1.00%,Lab
UKPARL.2025.BED,3,Survation MRP (List),26.37%,38.59%,9.09%,13.45%,NI,NI,8.01%,4.49%,Lab
UKPARL.2025.BED,4,FocalData MRP (List),24.11%,50.69%,8.10%,4.26%,,,12.60%,,Lab
UKPARL.2025.BED,5,AVERAGE,22.37%,47.82%,7.80%,7.93%,0.00%,0.00%,12.15%,1.83%,TRUE
UKPARL.2025.BER,1,YOUGOV MRPs (List),14.00%,52.00%,5.00%,5.00%,0.00%,0.00%,23.00%,1.00%,Lab
UKPARL.2025.BER,2,IPSOS MRP (List),23.00%,53.00%,5.00%,4.00%,NA,NA,13.00%,2.00%,Lab
UKPARL.2025.BER,3,Survation MRP (List),22.72%,56.32%,4.21%,5.56%,NI,NI,9.07%,2.12%,Lab
UKPARL.2025.BER,4,FocalData MRP (List),23.36%,49.17%,4.30%,5.26%,,,17.37%,,Lab
UKPARL.2025.BER,5,AVERAGE,20.77%,52.62%,4.63%,4.95%,0.00%,0.00%,15.61%,1.71%,TRUE
UKPARL.2025.BES,1,YOUGOV MRPs (List),32.00%,32.00%,3.00%,12.00%,0.00%,0.00%,19.00%,1.00%,Lab
UKPARL.2025.BES,2,IPSOS MRP (List),30.00%,31.00%,10.00%,12.00%,NA,NA,16.00%,0.00%,Lab
