ECRef,RegulatedEntityName,RegulatedEntityTypeName,RegistrationStatusName,RegisterName,EntityStatusName,ReferendumName,DesignationStatusName,CompanyRegistrationNumber,ApprovedDate,FieldingCandidatesInEngland,FieldingCandidatesInScotland,FieldingCandidatesInWales,FieldingCandidatesMinorParty,ReferendumOutcome,CampaigningName,Description,DescriptionTranslation,DateDescriptionFirstApproved,FinancialYearEnd
PP6673,Abolish the Scottish Parliament Party,Political Party,Registered,Great Britain,,,,,31/01/2018,False,True,False,False,,,Abolish Scottish Parliament - No More Referendums,,08/07/2020 12:44:11,31/12
PP6673,Abolish the Scottish Parliament Party,Political Party,Registered,Great Britain,,,,,31/01/2018,False,True,False,False,,,Abolish Scottish Parliament Party - Scrap Devolution,,08/07/2020 12:44:11,31/12
PP6673,Abolish the Scottish Parliament Party,Political Party,Registered,Great Britain,,,,,31/01/2018,False,True,False,False,,,Abolish Scottish Parliament Party - Abolish Devolution,,08/07/2020 12:44:11,31/12
PP6673,Abolish the Scottish Parliament Party,Political Party,Registered,Great Britain,,,,,31/01/2018,False,True,False,False,,,"Abolish Scottish Parliament – Save £100,000,000 Yearly",,28/10/2020 12:33:48,31/12
PP6745,Abolish the TV Licence Party,Political Party,Registered,Great Britain,,,,,29/03/2018,True,False,False,False,,,Abolish the TV Licence,,25/05/2021 18:02:35,31/12
PP6745,Abolish the TV Licence Party,Political Party,Registered,Great Britain,,,,,29/03/2018,True,False,False,False,,,Abolish the BBC TV Licence,,25/05/2021 18:02:35,31/12
PP6745,Abolish the TV Licence Party,Political Party,Registered,Great Britain,,,,,29/03/2018,True,False,False,False,,,Abolish the Television Broadcast Receiving Licence,,25/05/2021 18:02:35,31/12
PP6745,Abolish the TV Licence Party,Political Party,Registered,Great Britain,,,,,29/03/2018,True,False,False,False,,,Abolish the Television Licence,,25/05/2021 18:02:35,31/12
PP6745,Abolish the TV Licence Party,Political Party,Registered,Great Britain,,,,,29/03/2018,True,False,False,False,,,Abolish the BBC Television Licence,,25/05/2021 18:02:35,31/12
PP6745,Abolish the TV Licence Party,Political Party,Registered,Great Britain,,,,,29/03/2018,True,False,False,False,,,Abolish the TV Broadcast Receiving Licence,,25/05/2021 18:02:35,31/12
PP12653,Abolish The Welsh Assembly Party,Political Party,Registered,Great Britain,,,,,06/01/2021,True,False,True,False,,,,,,31/12
PPm7927,Act for Cuxton Together,Minor Party,Registered,,,,,,14/01/2019,True,False,False,True,,,,,,
PP654,Action To Save St.John's Hospital,Political Party,Registered,Great Britain,,,,,19/03/2007,False,True,False,False,,,,,,31/12
PP6795,Active For Plymouth,Political Party,Registered,Great Britain,,,,,25/06/2018,True,False,False,False,,,,,,31/12
PP12700,Alba Party,Political Party,Registered,Great Britain,,,,,08/02/2021,False,True,False,False,,,,,,31/12
PP12579,All For Unity,Political Party,Registered,Great Britain,,,,,04/02/2021,False,True,False,False,,,All for Unity - No to Separatism,,04/02/2021 10:59:52,31/12
PP12579,All For Unity,Political Party,Registered,Great Britain,,,,,04/02/2021,False,True,False,False,,,All 4 Unity - No to Separatism,,04/02/2021 10:59:52,31/12
PP12579,All For Unity,Political Party,Registered,Great Britain,,,,,04/02/2021,False,True,False,False,,,All 4 Unity,,04/02/2021 10:59:52,31/12
PP12579,All For Unity,Political Party,Registered,Great Britain,,,,,04/02/2021,False,True,False,False,,,All for Unity (A4U),,25/05/2021 18:06:05,31/12
PP12579,All For Unity,Political Party,Registered,Great Britain,,,,,04/02/2021,False,True,False,False,,,All 4 Unity (A4U),,25/05/2021 18:06:05,31/12
PP103,Alliance - Alliance Party of Northern Ireland,Political Party,Registered,Northern Ireland,,,,,25/02/1999,False,False,False,False,,,Alliance,,02/02/2001 00:00:00,31/12
PP103,Alliance - Alliance Party of Northern Ireland,Political Party,Registered,Northern Ireland,,,,,25/02/1999,False,False,False,False,,,Alliance Party,,02/02/2001 00:00:00,31/12
PP103,Alliance - Alliance Party of Northern Ireland,Political Party,Registered,Northern Ireland,,,,,25/02/1999,False,False,False,False,,,The Alliance Party,,02/02/2001 00:00:00,31/12
PP103,Alliance - Alliance Party of Northern Ireland,Political Party,Registered,Northern Ireland,,,,,25/02/1999,False,False,False,False,,,Alliance Party of Northern Ireland,,02/02/2001 00:00:00,31/12
PP103,Alliance - Alliance Party of Northern Ireland,Political Party,Registered,Northern Ireland,,,,,25/02/1999,False,False,False,False,,,The Alliance Party of Northern Ireland,,02/02/2001 00:00:00,31/12
PP103,Alliance - Alliance Party of Northern Ireland,Political Party,Registered,Northern Ireland,,,,,25/02/1999,False,False,False,False,,,Alliance Works - Tribal Politics Doesn't,,02/02/2001 00:00:00,31/12
PP103,Alliance - Alliance Party of Northern Ireland,Political Party,Registered,Northern Ireland,,,,,25/02/1999,False,False,False,False,,,Alliance Party - Shared Future,,02/02/2001 00:00:00,31/12
PP103,Alliance - Alliance Party of Northern Ireland,Political Party,Registered,Northern Ireland,,,,,25/02/1999,False,False,False,False,,,Alliance Party First Candidate,,02/02/2001 00:00:00,31/12
PP103,Alliance - Alliance Party of Northern Ireland,Political Party,Registered,Northern Ireland,,,,,25/02/1999,False,False,False,False,,,Alliance Party Second Candidate,,02/02/2001 00:00:00,31/12
PP103,Alliance - Alliance Party of Northern Ireland,Political Party,Registered,Northern Ireland,,,,,25/02/1999,False,False,False,False,,,Alliance Party Third Candidate,,02/02/2001 00:00:00,31/12
PP103,Alliance - Alliance Party of Northern Ireland,Political Party,Registered,Northern Ireland,,,,,25/02/1999,False,False,False,False,,,Cross-Community Alliance Party,,02/02/2001 00:00:00,31/12
PP1952,Alliance EPP (European People’s Party) UK,Political Party,Registered,Great Britain,,,,,10/10/2012,True,True,True,False,,,EPP: European People’s Party,,19/03/2015 18:01:39,31/12
PP10288,Alliance for Democracy and Freedom,Political Party,Registered,Great Britain,,,,,20/08/2020,True,True,True,False,,,Alliance for Democracy and Freedom ADF,,23/03/2021 14:14:10,31/12
PP10288,Alliance for Democracy and Freedom,Political Party,Registered,Great Britain,,,,,20/08/2020,True,True,True,False,,,Alliance for Democracy and Freedom Bradford,,23/03/2021 14:14:10,31/12
PP10288,Alliance for Democracy and Freedom,Political Party,Registered,Great Britain,,,,,20/08/2020,True,True,True,False,,,Alliance for Democracy and Freedom Doncaster,,23/03/2021 14:14:10,31/12
PP10288,Alliance for Democracy and Freedom,Political Party,Registered,Great Britain,,,,,20/08/2020,True,True,True,False,,,Alliance for Democracy and Freedom Durham,,23/03/2021 14:14:10,31/12
PP10288,Alliance for Democracy and Freedom,Political Party,Registered,Great Britain,,,,,20/08/2020,True,True,True,False,,,Alliance for Democracy and Freedom Hartlepool,,23/03/2021 14:14:10,31/12
PP10288,Alliance for Democracy and Freedom,Political Party,Registered,Great Britain,,,,,20/08/2020,True,True,True,False,,,Alliance for Democracy and Freedom Herefordshire,,23/03/2021 14:14:10,31/12
PP10288,Alliance for Democracy and Freedom,Political Party,Registered,Great Britain,,,,,20/08/2020,True,True,True,False,,,Alliance for Democracy and Freedom Hull,,23/03/2021 14:14:10,31/12
PP10288,Alliance for Democracy and Freedom,Political Party,Registered,Great Britain,,,,,20/08/2020,True,True,True,False,,,Alliance for Democracy and Freedom Lincolnshire,,23/03/2021 14:14:10,31/12
PP10288,Alliance for Democracy and Freedom,Political Party,Registered,Great Britain,,,,,20/08/2020,True,True,True,False,,,Alliance for Democracy and Freedom Salford,,23/03/2021 14:14:10,31/12
PP10288,Alliance for Democracy and Freedom,Political Party,Registered,Great Britain,,,,,20/08/2020,True,True,True,False,,,Alliance for Democracy and Freedom Sedgefield,,23/03/2021 14:14:10,31/12
PP10288,Alliance for Democracy and Freedom,Political Party,Registered,Great Britain,,,,,20/08/2020,True,True,True,False,,,Alliance for Democracy and Freedom Warrington,,23/03/2021 14:14:10,31/12
PP10288,Alliance for Democracy and Freedom,Political Party,Registered,Great Britain,,,,,20/08/2020,True,True,True,False,,,Alliance for Democracy and Freedom Wakefield,,23/03/2021 14:14:10,31/12
PP5260,Alliance for Europe,Political Party,Registered,Great Britain,,,,,24/08/2016,True,True,True,False,,,Alliance for Europe in Wales,Cynghrair dros Ewrop yng Nghymru,24/08/2016 16:41:57,31/12
PP5260,Alliance for Europe,Political Party,Registered,Great Britain,,,,,24/08/2016,True,True,True,False,,,The Alliance for Europe Candidate,,24/08/2016 16:41:57,31/12
PP67,Alliance For Green Socialism,Political Party,Registered,Great Britain,,,,,25/02/1999,True,True,True,False,,,Alliance For Green Socialism - Save NHS,,02/02/2001 00:00:00,31/12
PP67,Alliance For Green Socialism,Political Party,Registered,Great Britain,,,,,25/02/1999,True,True,True,False,,,Alliance for Green Socialism - Save Homes,,02/02/2001 00:00:00,31/12
PP67,Alliance For Green Socialism,Political Party,Registered,Great Britain,,,,,25/02/1999,True,True,True,False,,,Alliance For Green Socialism - Save Schools,,02/02/2001 00:00:00,31/12
PP67,Alliance For Green Socialism,Political Party,Registered,Great Britain,,,,,25/02/1999,True,True,True,False,,,Green Socialists,,02/02/2001 00:00:00,31/12
PP67,Alliance For Green Socialism,Political Party,Registered,Great Britain,,,,,25/02/1999,True,True,True,False,,,Alliance for Green Socialism - LGBT,,23/03/2021 15:34:03,31/12
PP67,Alliance For Green Socialism,Political Party,Registered,Great Britain,,,,,25/02/1999,True,True,True,False,,,Alliance for Green Socialism - Environmental Socialists,,23/03/2021 15:34:03,31/12
PP67,Alliance For Green Socialism,Political Party,Registered,Great Britain,,,,,25/02/1999,True,True,True,False,,,Alliance for Green Socialism and Environment,,23/03/2021 15:34:03,31/12
PP67,Alliance For Green Socialism,Political Party,Registered,Great Britain,,,,,25/02/1999,True,True,True,False,,,Alliance for Green Socialism - Ecological Socialists,,23/03/2021 15:34:03,31/12
PP67,Alliance For Green Socialism,Political Party,Registered,Great Britain,,,,,25/02/1999,True,True,True,False,,,Green Socialists - The Left Green Alliance,,23/03/2021 15:34:03,31/12
PP67,Alliance For Green Socialism,Political Party,Registered,Great Britain,,,,,25/02/1999,True,True,True,False,,,Green Socialists - Fighting for the Planet,,23/03/2021 15:34:03,31/12
PP67,Alliance For Green Socialism,Political Party,Registered,Great Britain,,,,,25/02/1999,True,True,True,False,,,Green Socialists - Build more Council Houses,,23/03/2021 15:34:03,31/12
PP7997,Alliance For Local Living (ALL),Political Party,Registered,Great Britain,,,,,01/04/2019,True,False,False,False,,,Alliance for Local Living Independent Candidate.,,01/04/2019 12:07:44,31/12
PP2658,Alliance for London,Political Party,Registered,Great Britain,,,,,01/04/2015,True,False,False,False,,,Alliance for London: Londoners First,,15/12/2020 18:21:13,31/12
PP2658,Alliance for London,Political Party,Registered,Great Britain,,,,,01/04/2015,True,False,False,False,,,Alliance for London: the Londoners' Party,,15/12/2020 18:21:13,31/12
PP2658,Alliance for London,Political Party,Registered,Great Britain,,,,,01/04/2015,True,False,False,False,,,Alliance for London: the London Party,,15/12/2020 18:21:13,31/12
PP2658,Alliance for London,Political Party,Registered,Great Britain,,,,,01/04/2015,True,False,False,False,,,Alliance for London: London in Europe,,15/12/2020 18:21:13,31/12
PP2658,Alliance for London,Political Party,Registered,Great Britain,,,,,01/04/2015,True,False,False,False,,,Alliance for London: Londoners in Europe,,15/12/2020 18:21:13,31/12
PP2658,Alliance for London,Political Party,Registered,Great Britain,,,,,01/04/2015,True,False,False,False,,,Alliance for London: all Londoners Together,,15/12/2020 18:21:13,31/12
PP12661,Andover Alliance,Political Party,Registered,Great Britain,,,,,13/01/2021,True,False,False,False,,,,,,31/12
PP9225,Andover Independents Party,Political Party,Registered,Great Britain,,,,,02/09/2019,True,False,False,False,,,Andover Independents,,02/09/2019 11:26:37,31/12
PP9225,Andover Independents Party,Political Party,Registered,Great Britain,,,,,02/09/2019,True,False,False,False,,,The Andover Independents,,02/09/2019 11:26:37,31/12
PP4041,Animal Welfare Party,Political Party,Registered,Northern Ireland,,,,,06/04/2016,False,False,False,False,,,"Animal Welfare Party - People, Animals, Environment",,15/04/2019 12:01:00,31/12
PP616,Animal Welfare Party,Political Party,Registered,Great Britain,,,,,22/01/2007,True,True,True,False,,,"Animal Welfare Party - People, Animals, Environment",,15/04/2019 12:11:35,31/12
PP7968,Aontú,Political Party,Registered,Northern Ireland,,,,,25/03/2019,False,False,False,False,,,"Aontú for Life, Unity, Economic Justice",,06/01/2020 16:05:26,31/12
PP845,Apolitical Democrats,Political Party,Registered,Great Britain,,,,,22/03/2010,True,True,True,False,,,,,,31/12
PP3902,Ashfield Independents,Political Party,Registered,Great Britain,,,,,28/07/2016,True,False,False,False,,,Ashfield Independents Working All Year Round,,28/07/2016 11:57:40,31/12
PP3902,Ashfield Independents,Political Party,Registered,Great Britain,,,,,28/07/2016,True,False,False,False,,,Ashfield Independents Putting Sutton First,,28/07/2016 11:57:40,31/12
PP3902,Ashfield Independents,Political Party,Registered,Great Britain,,,,,28/07/2016,True,False,False,False,,,Ashfield Independents Putting Hucknall First,,28/07/2016 11:57:40,31/12
PP3902,Ashfield Independents,Political Party,Registered,Great Britain,,,,,28/07/2016,True,False,False,False,,,Ashfield Independents Putting Selston First,,28/07/2016 11:57:40,31/12
PP3902,Ashfield Independents,Political Party,Registered,Great Britain,,,,,28/07/2016,True,False,False,False,,,Ashfield Independents Putting People Before Politics,,28/07/2016 11:57:40,31/12
PP3902,Ashfield Independents,Political Party,Registered,Great Britain,,,,,28/07/2016,True,False,False,False,,,Ashfield Independents Putting Kirkby First,,02/10/2019 16:48:34,31/12
PP3902,Ashfield Independents,Political Party,Registered,Great Britain,,,,,28/07/2016,True,False,False,False,,,Ashfield Independents Working Hard For You,,02/10/2019 16:48:34,31/12
PP3902,Ashfield Independents,Political Party,Registered,Great Britain,,,,,28/07/2016,True,False,False,False,,,Ashfield Independents £1million More For Roads,,26/05/2021 14:00:38,31/12
PP291,Ashford Independent,Political Party,Registered,Great Britain,,,,,06/03/2003,True,False,False,False,,,,,,31/12
PP625,Ashtead Independents,Political Party,Registered,Great Britain,,,,,05/03/2007,True,False,False,False,,,"Ashtead Independents, working with Ashtead Residents",,05/03/2007 00:00:00,31/12
PP625,Ashtead Independents,Political Party,Registered,Great Britain,,,,,05/03/2007,True,False,False,False,,,"Ashtead Independents, working for Ashtead Residents",,05/03/2007 00:00:00,31/12
PP625,Ashtead Independents,Political Party,Registered,Great Britain,,,,,05/03/2007,True,False,False,False,,,"Ashtead Independent, working with Ashtead Residents",,05/03/2007 00:00:00,31/12
PP625,Ashtead Independents,Political Party,Registered,Great Britain,,,,,05/03/2007,True,False,False,False,,,"Ashtead Independent, working for Ashtead Residents",,05/03/2007 00:00:00,31/12
PP625,Ashtead Independents,Political Party,Registered,Great Britain,,,,,05/03/2007,True,False,False,False,,,"Ashtead Independents - local people, local issues",,05/03/2007 00:00:00,31/12
PP625,Ashtead Independents,Political Party,Registered,Great Britain,,,,,05/03/2007,True,False,False,False,,,"Ashtead Independent - local resident, local issues",,05/03/2007 00:00:00,31/12
PP625,Ashtead Independents,Political Party,Registered,Great Britain,,,,,05/03/2007,True,False,False,False,,,Ashtead Independent,,05/03/2007 00:00:00,31/12
PP6713,Aspire,Political Party,Registered,Great Britain,,,,,26/01/2018,True,False,False,False,,,,,,31/12
PP2567,Atomist,Political Party,Registered,Great Britain,,,,,27/02/2015,True,True,True,False,,,Atomist - Making life simple,,12/06/2015 15:16:44,31/12
PP2567,Atomist,Political Party,Registered,Great Britain,,,,,27/02/2015,True,True,True,False,,,Atomist - Intelligent Revolution,,15/04/2019 11:00:24,31/12
PP530,Barnsley Independent Group,Political Party,Registered,Great Britain,,,,,14/02/2006,True,False,False,False,,,Barnsley Independent Group The Barnsley Party,,12/02/2020 11:31:05,31/12
PP530,Barnsley Independent Group,Political Party,Registered,Great Britain,,,,,14/02/2006,True,False,False,False,,,Barnsley Independent Group Putting Barnsley First,,12/02/2020 11:31:05,31/12
PP530,Barnsley Independent Group,Political Party,Registered,Great Britain,,,,,14/02/2006,True,False,False,False,,,Barnsley Independent Group Taking Back Control,,12/02/2020 11:31:05,31/12
PP530,Barnsley Independent Group,Political Party,Registered,Great Britain,,,,,14/02/2006,True,False,False,False,,,Barnsley Independent Group your Community Candidate,,12/02/2020 11:31:05,31/12
PP530,Barnsley Independent Group,Political Party,Registered,Great Britain,,,,,14/02/2006,True,False,False,False,,,Barnsley Independent Group Reforming Barnsley,,12/02/2020 11:31:05,31/12
PP530,Barnsley Independent Group,Political Party,Registered,Great Britain,,,,,14/02/2006,True,False,False,False,,,Barnsley Independent Group for Direct Democracy,,12/02/2020 11:31:05,31/12
PP12751,Basildon Community Residents Party,Political Party,Registered,Great Britain,,,,,18/03/2021,True,False,False,False,,,,,,31/12
PP10225,Basingstoke & Deane Independents,Political Party,Registered,Great Britain,,,,,20/01/2020,True,False,False,False,,,Basingstoke Independents,,20/01/2020 15:53:32,31/12
PP6709,Birmingham Worker,Political Party,Registered,Great Britain,,,,,07/03/2018,True,False,False,False,,,The Birmingham Worker,,07/03/2018 13:54:31,31/12
PP6709,Birmingham Worker,Political Party,Registered,Great Britain,,,,,07/03/2018,True,False,False,False,,,Birmingham Worker candidate,,07/03/2018 13:54:31,31/12
PP6709,Birmingham Worker,Political Party,Registered,Great Britain,,,,,07/03/2018,True,False,False,False,,,Birmingham Worker: against the cuts,,07/03/2018 13:54:31,31/12
PP6709,Birmingham Worker,Political Party,Registered,Great Britain,,,,,07/03/2018,True,False,False,False,,,a Birmingham Worker,,07/03/2018 13:54:31,31/12
PP11456,Black Country Party,Political Party,Registered,Great Britain,,,,,10/01/2020,True,False,False,False,,,,,,31/12
PP6342,Blue Revolution,Political Party,Registered,Great Britain,,,,,16/03/2017,True,False,False,False,,,Blue Revolution means Change through Challenge,,16/03/2017 15:23:31,31/12
PP6342,Blue Revolution,Political Party,Registered,Great Britain,,,,,16/03/2017,True,False,False,False,,,Blue Revolution : Contract Choice and Consent,,16/03/2017 15:23:31,31/12
PP6342,Blue Revolution,Political Party,Registered,Great Britain,,,,,16/03/2017,True,False,False,False,,,Blue Revolution the real Workers Revolution,,16/03/2017 15:23:31,31/12
PP2676,BollingtonFirst,Political Party,Registered,Great Britain,,,,,27/02/2015,True,False,False,False,,,Bollington First,,27/02/2015 18:10:16,31/12
PP11460,Bolton For Change,Political Party,Registered,Great Britain,,,,,26/02/2020,True,False,False,False,,,Bolton For Change Breightmet,,26/02/2020 13:57:35,31/12
PP11460,Bolton For Change,Political Party,Registered,Great Britain,,,,,26/02/2020,True,False,False,False,,,Bolton For Change Tonge with Haulgh,,26/02/2020 13:57:35,31/12
PP11460,Bolton For Change,Political Party,Registered,Great Britain,,,,,26/02/2020,True,False,False,False,,,Bolton For Change Horwich & Blackrod,,26/02/2020 13:57:35,31/12
PP11460,Bolton For Change,Political Party,Registered,Great Britain,,,,,26/02/2020,True,False,False,False,,,Bolton For Change Halliwell,,26/02/2020 13:57:35,31/12
PP11460,Bolton For Change,Political Party,Registered,Great Britain,,,,,26/02/2020,True,False,False,False,,,Bolton For Change Astley Bridge,,26/02/2020 13:57:35,31/12
PP11460,Bolton For Change,Political Party,Registered,Great Britain,,,,,26/02/2020,True,False,False,False,,,Bolton For Change Crompton,,26/02/2020 13:57:35,31/12
PP11460,Bolton For Change,Political Party,Registered,Great Britain,,,,,26/02/2020,True,False,False,False,,,Bolton For Change Smithills,,26/02/2020 13:57:35,31/12
PP11460,Bolton For Change,Political Party,Registered,Great Britain,,,,,26/02/2020,True,False,False,False,,,Bolton For Change Farnworth & Kearsley,,26/02/2020 13:57:35,31/12
PP11460,Bolton For Change,Political Party,Registered,Great Britain,,,,,26/02/2020,True,False,False,False,,,Bolton For Change Horwich North East,,26/02/2020 13:57:35,31/12
PP11460,Bolton For Change,Political Party,Registered,Great Britain,,,,,26/02/2020,True,False,False,False,,,Bolton For Change Bromley Cross,,26/02/2020 13:57:35,31/12
PP11460,Bolton For Change,Political Party,Registered,Great Britain,,,,,26/02/2020,True,False,False,False,,,Bolton For Change Bradshaw,,26/02/2020 13:57:35,31/12
PP11460,Bolton For Change,Political Party,Registered,Great Britain,,,,,26/02/2020,True,False,False,False,,,Bolton For Change Darcy/Little Lever,,26/02/2020 13:57:35,31/12
PP6885,Both Unions Party,Political Party,Registered,Great Britain,,,,,12/12/2018,True,True,True,False,,,Scotland for Both Unions: UK Europe,,12/12/2018 12:00:26,31/12
PP6844,Both Unions Party of Northern Ireland,Political Party,Registered,Northern Ireland,,,,,10/09/2018,False,False,False,False,,,Northern Ireland Both Unions UK Europe,,28/09/2018 17:22:55,31/12
PP12596,Breakthrough Party,Political Party,Registered,Great Britain,,,,,26/01/2021,True,True,True,False,,,,,,31/12
PP1765,British Democratic Party,Political Party,Registered,Great Britain,,,,,23/05/2011,True,True,True,False,,,British Democrats,,23/05/2011 10:31:05,31/12
PP1765,British Democratic Party,Political Party,Registered,Great Britain,,,,,23/05/2011,True,True,True,False,,,Brit Dems,,28/03/2013 17:25:06,31/12
PP1765,British Democratic Party,Political Party,Registered,Great Britain,,,,,23/05/2011,True,True,True,False,,,Brit Dems stop immigration leave EU,,28/03/2013 17:25:06,31/12
PP1765,British Democratic Party,Political Party,Registered,Great Britain,,,,,23/05/2011,True,True,True,False,,,British Democrats stop immigration leave EU,,28/03/2013 17:25:06,31/12
PP1765,British Democratic Party,Political Party,Registered,Great Britain,,,,,23/05/2011,True,True,True,False,,,Plaid Democratiadd Prydeinig,British Democratic Party,28/03/2013 17:25:06,31/12
PP1765,British Democratic Party,Political Party,Registered,Great Britain,,,,,23/05/2011,True,True,True,False,,,Democrataidd Prydeinig,British Democrats,28/03/2013 17:25:06,31/12
PP2165,British Independents,Political Party,Registered,Great Britain,,,,,28/11/2013,True,True,True,False,,,,,,31/12
PP10282,British Liberal Provident Party,Political Party,Registered,Great Britain,,,,,13/01/2020,True,True,True,False,,,,,,31/12
PP3960,British National Party,Political Party,Registered,Great Britain,,,,,10/02/2016,True,True,True,False,,,British National Party Local People First,,10/02/2016 16:33:56,31/12
PP3960,British National Party,Political Party,Registered,Great Britain,,,,,10/02/2016,True,True,True,False,,,People like you - Voting BNP,,10/02/2016 16:33:56,31/12
PP3960,British National Party,Political Party,Registered,Great Britain,,,,,10/02/2016,True,True,True,False,,,British National Party - Plaid Genedlaethol Brydeinig,,10/02/2016 16:33:56,31/12
PP3938,British Resistance,Political Party,Registered,Great Britain,,,,,14/03/2016,True,False,False,False,,,,,,31/12
PP2834,British Unionist Party - B.U.P.,Political Party,Registered,Great Britain,,,,,21/08/2015,True,True,True,False,,,,,,31/12
PP9076,Bucks Residents Association,Political Party,Registered,Great Britain,,,,,25/03/2019,True,False,False,False,,,,,,31/12
PPm12774,Bucks Together,Minor Party,Registered,,,,,,24/03/2021,True,False,False,True,,,,,,
PP6725,Burnley and Padiham independent Party,Political Party,Registered,Great Britain,,,,,26/02/2018,True,False,False,False,,,,,,31/12
PP6735,Campaign Against Pedestrianisation of Oxford Street,Political Party,Registered,Great Britain,,,,,05/03/2018,True,False,False,False,,,,,,31/12
PPm12696,Canvey First,Minor Party,Registered,,,,,,09/02/2021,True,False,False,True,,,,,,
PP381,Canvey Island Independent Party,Political Party,Registered,Great Britain,,,,,22/04/2004,True,False,False,False,,,,,,31/12
PP478,Centreground Party,Political Party,Registered,Great Britain,,,,,12/04/2005,True,True,True,False,,,,,,31/12
PP10322,Charford Residents' Association,Political Party,Registered,Great Britain,,,,,21/01/2020,True,False,False,False,,,,,,31/12
PP12557,Chase Community Independents Group,Political Party,Registered,Great Britain,,,,,02/09/2020,True,False,False,False,,,Chase Community Independents Group: Hednesford First,,08/02/2021 12:03:23,31/12
PP12557,Chase Community Independents Group,Political Party,Registered,Great Britain,,,,,02/09/2020,True,False,False,False,,,Chase Community Independents Group: Rugeley First,,08/02/2021 12:03:23,31/12
PP12557,Chase Community Independents Group,Political Party,Registered,Great Britain,,,,,02/09/2020,True,False,False,False,,,Chase Community Independents Group: Staffordshire First,,08/02/2021 12:03:23,31/12
PP12557,Chase Community Independents Group,Political Party,Registered,Great Britain,,,,,02/09/2020,True,False,False,False,,,Chase Community Independents Group: Cannock Together,,08/02/2021 12:03:23,31/12
PP12557,Chase Community Independents Group,Political Party,Registered,Great Britain,,,,,02/09/2020,True,False,False,False,,,Chase Community Independents Group: Hednesford Together,,08/02/2021 12:03:23,31/12
PP12557,Chase Community Independents Group,Political Party,Registered,Great Britain,,,,,02/09/2020,True,False,False,False,,,Chase Community Independents Group: Rugeley Together,,08/02/2021 12:03:23,31/12
PP12557,Chase Community Independents Group,Political Party,Registered,Great Britain,,,,,02/09/2020,True,False,False,False,,,Chase Community Independents Group: Staffordshire Together,,08/02/2021 12:03:23,31/12
PP12557,Chase Community Independents Group,Political Party,Registered,Great Britain,,,,,02/09/2020,True,False,False,False,,,Chase Community Independents People Before Politics,,08/02/2021 12:03:23,31/12
PP12557,Chase Community Independents Group,Political Party,Registered,Great Britain,,,,,02/09/2020,True,False,False,False,,,Chase Community Independents Councillor,,08/02/2021 12:03:23,31/12
PP12557,Chase Community Independents Group,Political Party,Registered,Great Britain,,,,,02/09/2020,True,False,False,False,,,Chase Community Independents Group: Cannock First,,08/02/2021 12:03:23,31/12
PP2883,Chesterfield And North Derbyshire Independents (CANDI),Political Party,Registered,Great Britain,,,,,18/02/2016,True,False,False,False,,,Chesterfield Independents,,18/02/2016 16:05:45,31/12
PP12681,Chichester and Harbour Independents,Political Party,Registered,Great Britain,,,,,10/03/2021,True,False,False,False,,,,,,31/12
