"Constituency Name","Tactical Voting Advice","Stand-aside Advice","Lab-Con","Win19","Second19","CON%","LAB%","LD%","GRN%","Labour Target","Lib Dem target"
"Liverpool Riverside","GREEN",,77.3,"Lab","Con",7.8,85.1,2.2,2.4,1,
"Birmingham Ladywood","GREEN",,73.2,"Lab","Con",9.8,83.0,2.8,1.8,2,
"Liverpool Walton","GREEN",,72.5,"Lab","Con",9.9,82.4,2.3,1.8,3,
"Knowsley","GREEN",,70.9,"Lab","Con",8.7,79.6,2.5,2.0,4,
"Bootle","GREEN",,70.3,"Lab","Con",9.2,79.4,3.7,2.4,5,
"Manchester Rusholme","GREEN",,69.5,"Lab","Con",9.1,78.6,4.0,4.3,6,
"Liverpool West Derby","GREEN",,69.3,"Lab","Con",8.6,77.9,2.7,1.9,7,
"Tottenham","GREEN",,66.7,"Lab","Con",11.1,77.8,5.0,4.3,8,
"Walthamstow","GREEN",,63.9,"Lab","Con",12.3,76.1,5.9,3.6,9,
"Bethnal Green and Stepney","GREEN",,63.4,"Lab","Con",10.1,73.5,9.3,4.2,10,
"East Ham","GREEN",,63.2,"Lab","Con",14.6,77.8,3.6,1.6,11,
"Hackney South and Shoreditch","GREEN",,63.0,"Lab","Con",10.4,73.4,8.2,6.4,12,
"Liverpool Wavertree","GREEN",,62.0,"Lab","Con",9.6,71.6,8.0,6.2,13,
"Bradford West","GREEN",,61.0,"Lab","Con",15.2,76.2,3.0,1.8,14,
"Peckham","GREEN",,59.6,"Lab","Con",11.2,70.8,10.4,5.0,15,
"Liverpool Garston","GREEN",,58.5,"Lab","Con",11.7,70.2,9.9,2.7,16,
"Lewisham North","GREEN",,57.2,"Lab","Con",12.2,69.4,11.1,5.3,17,
"Hackney North and Stoke Newington","GREEN",,56.8,"Lab","Con",13.0,69.8,7.7,8.0,18,
"Stratford and Bow","GREEN",,55.9,"Lab","Con",14.5,70.4,9.0,3.7,19,
"Manchester Withington","GREEN",,55.2,"Lab","LD",11.3,66.5,15.7,4.0,20,130
"Sheffield Central","GREEN","LIB DEM",54.6,"Lab","Con",12.4,67.0,5.4,10.9,21,
"West Ham and Beckton","GREEN",,54.3,"Lab","Con",16.4,70.7,6.1,2.5,22,
"Islington North","GREEN",,54.1,"Lab","LD",10.2,64.3,15.6,8.0,23,132
"Lewisham West and East Dulwich","GREEN",,51.5,"Lab","Con",14.5,66.1,9.9,7.3,24,
"Birmingham Hall Green and Moseley","GREEN",,51.2,"Lab","Con",15.0,66.3,7.2,1.7,25,
"Holborn and St Pancras","GREEN",,51.1,"Lab","Con",15.2,66.3,12.3,4.0,26,
"Gorton and Denton","GREEN",,48.4,"Lab","Con",18.9,67.2,5.8,2.5,27,
"Dulwich and West Norwood","GREEN","LIB DEM",47.8,"Lab","Con",16.6,64.5,1.0,16.2,28,
"Birmingham Perry Barr","GREEN",,47.6,"Lab","Con",20.4,68.0,6.5,1.9,29,
"Leicester South","GREEN",,46.4,"Lab","Con",21.8,68.2,4.3,3.3,30,
"Vauxhall and Camberwell Green","GREEN",,45.9,"Lab","LD",14.5,60.5,19.1,4.1,31,94
"Widnes and Halewood","GREEN",,45.6,"Lab","Con",20.8,66.5,2.8,2.3,32,
"Leeds Central and Headingley","GREEN",,45.5,"Lab","Con",17.9,63.4,11.2,3.5,33,
"Hornsey and Friern Barnet","LIB DEM",,45.4,"Lab","LD",11.8,57.3,25.6,3.8,34,59
"Croydon West","GREEN",,45.2,"Lab","Con",21.5,66.7,7.0,2.7,35,
"Birkenhead","GREEN",,44.4,"Lab","Con",15.6,60.0,4.0,3.0,36,
"Manchester Central","GREEN",,44.4,"Lab","Con",21.0,65.4,6.0,2.9,37,
"Bristol Central","GREEN","LIB DEM",44.1,"Lab","Green",14.3,58.5,0.0,26.0,38,
"Ilford South","GREEN",,44.0,"Lab","Con",21.2,65.2,3.3,1.3,39,
"Leyton and Wanstead","GREEN",,43.2,"Lab","Con",19.9,63.1,10.7,3.8,40,
"Poplar and Limehouse","GREEN",,42.7,"Lab","Con",17.7,60.3,15.5,3.4,41,134
"Lewisham East","GREEN",,42.7,"Lab","Con",20.0,62.7,10.1,3.5,42,
"Blackburn","GREEN",,42.7,"Lab","Con",23.3,66.0,2.4,1.6,43,
"Nottingham East","GREEN",,42.3,"Lab","Con",20.8,63.1,6.3,3.1,44,
"Queen's Park and Maida Vale","GREEN",,42.1,"Lab","Con",19.8,61.9,13.9,3.2,45,
"Bradford East","GREEN",,41.3,"Lab","Con",21.7,63.0,7.7,1.5,46,
"Rhondda and Ogmore","GREEN",,40.8,"Lab","Con",15.4,56.3,2.3,1.4,47,
"Islington South and Finsbury","GREEN",,40.7,"Lab","LD",16.3,57.0,19.7,4.3,48,88
"Brent East","GREEN",,40.3,"Lab","Con",23.5,63.8,9.0,3.2,49,
"Streatham and Croydon North","GREEN",,39.1,"Lab","Con",18.8,57.9,17.5,4.4,50,107
"Wallasey","GREEN",,37.7,"Lab","Con",25.9,63.7,3.9,2.4,51,
"St Helens South and Whiston","GREEN",,36.8,"Lab","Con",21.3,58.1,5.7,4.3,52,
"Cardiff East","GREEN",,36.5,"Lab","Con",22.7,59.2,12.3,0.6,53,
"Clapham and Brixton Hill","GREEN",,35.9,"Lab","LD",19.5,55.4,19.8,4.2,54,87
"Ealing Southall","GREEN",,35.8,"Lab","Con",23.9,59.7,9.8,3.8,55,
"Newcastle upon Tyne East and Wallsend","GREEN",,35.6,"Lab","Con",23.7,59.3,8.3,3.8,56,
"Bristol East","GREEN",,35.1,"Lab","Con",23.3,58.4,6.9,8.4,57,
"Oxford East","GREEN",,35.0,"Lab","Con",21.4,56.4,14.0,4.7,58,
"Salford","GREEN",,34.1,"Lab","Con",23.3,57.4,6.2,4.3,59,
"Barking","GREEN",,34.1,"Lab","Con",26.8,60.9,3.3,1.8,60,
"Leeds North East","GREEN",,33.8,"Lab","Con",23.6,57.5,11.2,3.8,61,
"Bermondsey and Old Southwark","LIB DEM","GREEN",32.8,"Lab","LD",16.8,49.6,31.1,0.1,62,37
"Stretford and Urmston","GREEN",,32.8,"Lab","Con",27.5,60.3,5.9,2.7,63,
"Cambridge","LIB DEM","GREEN",32.7,"Lab","LD",14.8,47.4,31.2,4.2,64,35
"Newcastle upon Tyne Central and West","GREEN",,32.7,"Lab","Con",26.6,59.3,3.0,3.0,65,
"Greenwich and Woolwich","GREEN",,32.3,"Lab","Con",22.7,55.0,14.6,4.6,66,
"Ellesmere Port and Bromborough","GREEN",,32.2,"Lab","Con",27.1,59.3,7.4,1.9,67,
"Leeds South","GREEN",,32.1,"Lab","Con",26.3,58.4,4.4,3.8,68,
"Birmingham Hodge Hill and Solihull North","GREEN",,31.4,"Lab","Con",28.6,59.9,4.3,3.5,69,
"Birmingham Yardley","GREEN",,31.4,"Lab","Con",26.7,58.1,8.9,1.2,70,
"Sheffield Brightside and Hillsborough","GREEN",,31.2,"Lab","Con",25.4,56.6,3.9,3.0,71,
"Merthyr Tydfil and Aberdare","GREEN",,31.1,"Lab","Con",20.6,51.7,3.3,0.0,72,
"Blaenau Gwent and Rhymney","LABOUR",,30.8,"Lab","Con",19.6,50.4,3.7,1.0,73,
"Blackley and Middleton South","GREEN",,30.8,"Lab","Con",28.2,59.0,3.0,2.0,74,
"Mitcham and Morden","GREEN",,30.8,"Lab","Con",26.7,57.5,10.8,2.2,75,
"Dewsbury and Batley","GREEN",,30.4,"Lab","Con",28.7,59.1,2.5,1.1,76,
"Aberafan Maesteg","GREEN",,30.3,"Lab","Con",22.6,52.9,3.7,1.6,77,
"Hove and Portslade","GREEN",,30.2,"Lab","Con",28.1,58.3,6.6,4.4,78,
"Erith and Thamesmead","GREEN",,30.1,"Lab","Con",28.2,58.4,4.9,2.8,79,
"Middlesbrough and Thornaby East","GREEN",,29.6,"Lab","Con",24.3,54.0,2.6,1.5,80,
"Slough","GREEN",,29.3,"Lab","Con",29.5,58.8,6.8,2.1,81,
"Southgate and Wood Green","GREEN",,29.2,"Lab","Con",28.6,57.8,9.9,2.5,82,
"York Central","GREEN",,28.6,"Lab","Con",27.8,56.4,7.8,4.2,83,
"Preston","GREEN",,27.5,"Lab","Con",29.8,57.3,6.8,2.0,84,
"Edmonton and Winchmore Hill","GREEN",,27.1,"Lab","Con",31.1,58.2,6.7,2.1,85,
"Smethwick","GREEN",,26.8,"Lab","Con",30.2,57.0,4.5,2.3,86,
"Sheffield Heeley","GREEN",,26.7,"Lab","Con",27.1,53.9,6.7,4.3,87,
"Ealing Central and Acton","GREEN",,26.7,"Lab","Con",25.6,52.3,17.3,3.4,88,110
"Stockport","GREEN",,26.1,"Lab","Con",28.2,54.3,8.7,3.6,89,
"St Helens North","GREEN",,25.7,"Lab","Con",26.6,52.3,5.6,4.1,90,
"Jarrow and Gateshead East","GREEN",,25.5,"Lab","Con",23.7,49.2,6.5,2.5,91,
"Oldham West, Chadderton and Royton","GREEN",,25.0,"Lab","Con",30.3,55.3,3.3,1.5,92,
"Bolton South and Walkden","GREEN",,24.8,"Lab","Con",31.7,56.6,3.9,2.4,93,
"Norwich South","GREEN",,24.5,"Lab","Con",29.0,53.5,9.5,4.8,94,
"Hampstead and Highgate","LIB DEM",,24.5,"Lab","LD",23.2,47.6,24.3,3.7,95,64
"Tooting","GREEN",,24.5,"Lab","Con",28.2,52.7,14.2,4.0,96,
"Ealing North","GREEN",,24.4,"Lab","Con",31.9,56.3,8.8,2.9,97,
"Birmingham Selly Oak","GREEN",,24.1,"Lab","Con",31.6,55.7,6.2,3.7,98,
"Cardiff South and Penarth","GREEN",,23.5,"Lab","Con",30.1,53.7,7.0,2.3,99,
"Wythenshawe and Sale East","GREEN",,23.2,"Lab","Con",30.1,53.3,7.0,3.5,100,
"Exeter","LABOUR",,22.7,"Lab","Con",32.1,54.8,0.0,9.3,101,
"Swansea West","LABOUR",,22.7,"Lab","Con",28.7,51.4,6.4,0.8,102,
"Nottingham South","LABOUR",,22.3,"Lab","Con",31.6,53.8,6.7,3.3,103,
"Brentford and Isleworth","LABOUR",,22.0,"Lab","Con",28.3,50.3,16.3,3.0,104,121
"Hayes and Harlington","LABOUR",,21.1,"Lab","Con",34.7,55.8,4.4,1.7,105,
"Hammersmith and Chiswick","LABOUR",,20.3,"Lab","Con",30.5,50.8,13.9,3.1,106,
"Cardiff West","LABOUR",,20.3,"Lab","Con",29.9,50.2,5.3,2.2,107,
"Easington","LABOUR",,19.7,"Lab","Con",27.1,46.8,4.1,0.3,108,
"Luton North","LABOUR",,19.6,"Lab","Con",34.3,53.9,4.6,1.9,109,
"Brent West","LABOUR",,19.5,"Lab","Con",33.8,53.3,9.1,1.7,110,
"Pontypridd","LABOUR",,19.3,"Lab","Con",27.3,46.6,1.4,0.2,111,
"Rochdale","LABOUR",,19.3,"Lab","Con",31.6,50.8,7.5,1.9,112,
"Barnsley South","LABOUR",,19.2,"Lab","Brexit",22.7,41.8,3.5,2.1,113,
"Neath and Swansea East","LABOUR",,18.9,"Lab","Con",28.2,47.1,4.1,1.7,114,
"Bristol South","LABOUR",,18.8,"Lab","Con",32.8,51.6,6.2,5.1,115,
"Harrow West","LABOUR",,18.3,"Lab","Con",34.8,53.1,8.2,2.1,116,
"South Shields","LABOUR",,18.3,"Lab","Con",25.8,44.1,3.5,3.1,117,
"Sefton Central","LABOUR",,18.2,"Lab","Con",34.3,52.6,6.6,2.1,118,
"Ilford North","LABOUR",,17.4,"Lab","Con",36.7,54.1,4.0,1.4,119,
"Enfield North","LABOUR",,17.4,"Lab","Con",35.9,53.3,6.5,2.4,120,
"Coventry East","LABOUR",,17.1,"Lab","Con",35.0,52.1,5.4,2.3,121,
"Birmingham Edgbaston","LABOUR",,16.9,"Lab","Con",35.5,52.3,7.3,2.6,122,
"Brighton Kemptown and Peacehaven","LABOUR",,16.8,"Lab","Con",34.4,51.2,6.0,5.7,123,
"Reading Central","LABOUR",,16.2,"Lab","Con",36.4,52.6,6.4,3.1,124,
"Feltham and Heston","LABOUR",,15.9,"Lab","Con",35.8,51.7,6.6,2.4,125,
"West Lancashire","LABOUR",,15.8,"Lab","Con",36.3,52.1,4.9,2.4,126,
"Caerphilly","LABOUR",,15.3,"Lab","Con",28.6,43.9,0.7,0.4,127,
"Huddersfield","LABOUR",,15.1,"Lab","Con",36.4,51.4,5.0,3.8,128,
"Wigan","LABOUR",,14.9,"Lab","Con",31.8,46.7,5.4,2.9,129,
"Barnsley North","LABOUR",,14.6,"Lab","Brexit",24.0,38.5,3.6,2.4,130,
"Blyth and Ashington","LABOUR",,14.2,"Lab","Con",33.5,47.7,6.4,2.9,131,
"Derby South","LABOUR",,14.2,"Lab","Con",36.9,51.1,6.2,0.0,132,
"Gateshead Central and Whickham","LABOUR",,14.1,"Lab","Con",33.0,47.1,12.2,3.8,133,
"Cardiff North","LABOUR",,13.9,"Lab","Con",35.7,49.6,6.5,1.5,134,
"Southampton Test","LABOUR",,13.8,"Lab","Con",35.7,49.5,7.7,3.2,135,
"Luton South and South Bedfordshire","LABOUR",,13.5,"Lab","Con",35.2,48.7,0.5,2.7,136,
"Kingston upon Hull North and Cottingham","LABOUR",,13.2,"Lab","Con",33.5,46.6,6.5,2.6,137,
"Leicester West","LABOUR",,12.6,"Lab","Con",36.6,49.3,6.7,2.8,138,
"Newcastle upon Tyne North","LABOUR",,12.6,"Lab","Con",31.8,44.4,14.0,4.1,139,
"Leicester East","LABOUR",,12.4,"Lab","Con",38.5,50.9,5.6,1.8,140,
"Bristol North West","LABOUR",,12.4,"Lab","Con",36.5,48.9,8.1,6.4,141,
"Runcorn and Helsby","LABOUR",,11.9,"Lab","Con",36.8,48.8,6.7,2.9,142,
"Chester North and Neston","LABOUR",,11.9,"Lab","Con",38.5,50.3,6.2,2.2,143,
"Ashton-under-Lyne","LABOUR",,11.3,"Lab","Con",36.2,47.5,4.3,3.5,144,
"Portsmouth South","LABOUR",,11.3,"Lab","Con",37.3,48.6,11.4,0.0,145,
"Newport East","LABOUR",,11.3,"Lab","Con",36.2,47.5,5.7,1.9,146,
"Bristol North East","LABOUR",,11.2,"Lab","Con",39.1,50.3,5.1,4.0,147,
"Sheffield South East","LABOUR",,11.1,"Lab","Con",35.6,46.7,4.7,0.2,148,
"Makerfield","LABOUR",,11.0,"Lab","Con",34.3,45.3,4.8,2.6,149,
"Battersea","LABOUR",,11.0,"Lab","Con",35.4,46.4,15.1,2.5,150,144
"Plymouth Sutton and Devonport","LABOUR",,10.4,"Lab","Con",38.0,48.4,4.9,3.0,151,
"Torfaen","LABOUR",,9.4,"Lab","Con",33.3,42.7,5.0,2.2,152,
"Washington and Gateshead South","LABOUR",,9.4,"Lab","Con",33.7,43.1,4.9,2.7,153,
"Sheffield Hallam","LIB DEM","GREEN",9.3,"Lab","LD",25.7,35.0,33.1,3.0,154,25
"North Durham","LABOUR",,9.3,"Lab","Con",34.4,43.7,6.4,2.6,155,
"Stockton North","LABOUR",,9.2,"Lab","Con",37.5,46.7,4.0,0.0,156,
"Blaydon and Consett","LABOUR",,9.1,"Lab","Con",34.9,44.0,4.6,3.0,157,
"City of Durham","LABOUR",,9.1,"Lab","Con",31.9,40.9,16.9,3.3,158,113
"Hartlepool","LABOUR",,8.8,"Lab","Con",28.9,37.7,4.1,0.0,159,
"Llanelli","LABOUR",,8.6,"Lab","Con",30.7,39.3,0.0,0.0,160,
"Normanton and Hemsworth","LABOUR",,8.1,"Lab","Con",31.4,39.6,4.2,1.8,161,
"Worsley and Eccles","LABOUR",,8.0,"Lab","Con",38.5,46.5,5.3,2.5,162,
"Birmingham Erdington","LABOUR",,8.0,"Lab","Con",41.5,49.4,3.3,1.8,163,
"Putney","LABOUR",,8.0,"Lab","Con",36.4,44.3,16.9,2.3,164,116
"Rotherham","LABOUR",,7.6,"Lab","Con",33.1,40.7,6.2,0.1,165,
"Houghton and Sunderland South","LABOUR",,7.5,"Lab","Con",32.9,40.4,5.9,2.7,166,
"Kingston upon Hull East","LABOUR",,7.3,"Lab","Con",34.3,41.6,5.0,2.3,167,
"Stalybridge and Hyde","LABOUR",,7.0,"Lab","Con",38.0,44.9,4.3,3.3,168,
"Sunderland Central","LABOUR",,6.8,"Lab","Con",35.4,42.2,7.0,2.8,169,
"Croydon East","LABOUR",,6.7,"Lab","Con",41.3,48.1,6.6,2.3,170,
"Bradford South","LABOUR",,6.7,"Lab","Con",40.1,46.7,3.7,2.5,171,
"Tynemouth","LABOUR",,6.5,"Lab","Con",40.2,46.7,6.7,2.4,172,
"Wolverhampton South East","LABOUR",,6.2,"Lab","Con",41.2,47.4,3.8,1.7,173,
"Leeds West and Pudsey","LABOUR",,6.2,"Lab","Con",42.2,48.4,3.6,1.4,174,
"Leeds East","LABOUR",,6.1,"Lab","Con",40.8,47.0,3.7,2.1,175,
"Gower","LABOUR",,5.9,"Lab","Con",39.9,45.8,5.9,0.0,176,
"Nottingham North and Kimberley","LABOUR",,5.8,"Lab","Con",40.2,46.0,3.8,2.5,177,
"Doncaster North","LABOUR",,5.2,"Lab","Con",33.2,38.3,3.6,0.0,178,
"Brighton Pavilion","GREEN","LIB DEM",4.9,"Green","Lab",17.7,22.7,0.0,57.0,,
"Cramlington and Killingworth","LABOUR",,4.5,"Lab","Con",39.9,44.4,5.2,2.5,179,
"Newport West and Islwyn","LABOUR",,4.1,"Lab","Con",37.7,41.8,5.1,2.0,180,
"Halifax","LABOUR",,4.0,"Lab","Con",41.7,45.6,4.8,2.0,181,
"Canterbury","LABOUR",,3.8,"Lab","Con",44.8,48.6,5.7,0.0,182,
"Warrington North","LABOUR",,3.3,"Lab","Con",40.9,44.2,6.6,2.7,183,
"Oldham East and Saddleworth","LABOUR",,3.2,"Lab","Con",40.3,43.5,5.2,1.7,184,
"Chesterfield","LABOUR",,3.2,"Lab","Con",37.0,40.2,8.8,2.5,185,
"Rawmarsh and Conisbrough","LABOUR",,3.1,"Lab","Con",37.0,40.1,3.7,0.5,186,
"Doncaster Central","LABOUR",,2.8,"Lab","Con",36.6,39.4,4.1,2.3,187,
"Pontefract, Castleford and Knottingley","LABOUR",,2.6,"Lab","Con",35.6,38.2,6.8,0.0,188,
"Bedford","LABOUR",,2.4,"Lab","Con",42.0,44.3,10.0,2.0,189,
"Warwick and Leamington","LABOUR",,2.2,"Lab","Con",41.1,43.3,10.9,2.9,190,
"Coventry South","LABOUR",,1.7,"Lab","Con",42.5,44.3,6.7,2.6,191,
"Dagenham and Rainham","LABOUR",,1.6,"Lab","Con",43.1,44.7,3.0,1.5,192,
"Heywood and Middleton North","LABOUR",,1.6,"Lab","Con",41.5,43.1,4.2,2.8,193,
"Beckenham and Penge","LABOUR",,1.0,"Lab","Con",39.1,40.1,16.1,4.0,194,125
"Wirral West","LABOUR",,0.8,"Lab","Con",44.4,45.2,5.7,2.5,195,
"Alyn and Deeside","LABOUR",,0.8,"Lab","Con",42.0,42.7,5.9,0.0,196,
"Kensington and Bayswater","LABOUR",,0.7,"Lab","Con",38.3,39.0,20.2,1.4,197,85
"Coventry North West","LABOUR",,0.4,"Lab","Con",43.4,43.8,5.7,3.0,198,
"Warrington South","LABOUR",,0.1,"Lab","Con",44.4,44.5,8.2,0.0,199,
"Burnley","LABOUR",,-0.3,"Con","Lab",40.5,40.2,7.7,1.8,200,
"Leigh and Atherton","LABOUR",,-0.7,"Con","Lab",43.8,43.2,4.6,0.3,201,
"High Peak","LABOUR",,-1.1,"Con","Lab",45.9,44.8,5.1,2.1,202,
"Bangor Aberconwy","LABOUR",,-1.5,"Con","Lab",40.0,38.4,4.4,0.0,203,
"Wolverhampton West","LABOUR",,-1.8,"Con","Lab",47.4,45.5,4.4,0.2,204,
"Bury South","LABOUR",,-1.9,"Con","Lab",43.5,41.6,6.2,1.8,205,
"Bury North","LABOUR",,-2.4,"Con","Lab",47.3,44.9,3.1,1.8,206,
"Bolton North East","LABOUR",,-2.6,"Con","Lab",45.0,42.4,4.4,1.6,207,
"Watford","LABOUR",,-2.7,"Con","Lab",42.0,39.3,17.7,0.3,208,105
"Chingford and Woodford Green","LABOUR",,-2.9,"Con","Lab",48.2,45.3,5.8,0.4,209,
"Wycombe","LABOUR",,-3.2,"Con","Lab",43.1,39.9,11.3,2.6,210,
"Dwyfor Meirionnydd","PLAID",,-3.3,"PC","Con",26.2,22.8,0.2,0.0,,
"Birmingham Northfield","LABOUR",,-3.4,"Con","Lab",46.1,42.7,4.6,2.2,211,
"Leeds North West","LABOUR",,-3.6,"Con","Lab",41.9,38.3,14.8,2.3,212,148
"Stroud","LABOUR",,-4.1,"Con","Lab",45.7,41.6,2.2,8.0,213,
"Keighley and Ilkley","LABOUR",,-4.2,"Con","Lab",48.1,43.9,4.9,0.0,214,
"Stoke-on-Trent Central","LABOUR",,-4.2,"Con","Lab",47.1,42.9,3.8,2.0,215,
"Whitehaven and Workington","LABOUR",,-4.3,"Con","Lab",48.4,44.1,4.0,1.2,216,
"Gedling","LABOUR",,-4.4,"Con","Lab",47.2,42.8,4.5,2.2,217,
"Walsall and Bloxwich","LABOUR",,-4.8,"Con","Lab",49.2,44.4,2.9,1.5,218,
"Peterborough","LABOUR",,-4.9,"Con","Lab",46.5,41.5,4.9,1.5,219,
"Vale of Glamorgan","LABOUR",,-5.1,"Con","Lab",49.1,43.9,0.0,6.0,220,
"West Bromwich","LABOUR",,-5.2,"Con","Lab",47.3,42.1,3.5,1.9,221,
"Mid Cheshire","LABOUR",,-5.3,"Con","Lab",46.9,41.6,8.4,2.0,222,
"Wakefield and Rothwell","LABOUR",,-5.3,"Con","Lab",44.9,39.5,10.9,1.0,223,
"Ynys Môn","LABOUR",,-5.4,"Con","Lab",35.5,30.1,0.0,0.0,224,
"Derby North","LABOUR",,-5.4,"Con","Lab",45.2,39.8,7.3,2.2,225,
"Bridgend","LABOUR",,-5.5,"Con","Lab",44.0,38.5,5.3,1.9,226,
"Clwyd North","LABOUR",,-5.5,"Con","Lab",45.8,40.3,4.9,0.0,227,
"Lancaster and Wyre","LABOUR",,-6.1,"Con","Lab",48.0,41.9,3.9,4.4,228,
"Hastings and Rye","LABOUR",,-6.7,"Con","Lab",49.1,42.4,7.4,0.1,229,
"Eltham and Chislehurst","LABOUR",,-6.7,"Con","Lab",46.9,40.1,7.5,3.0,230,
"Lincoln","LABOUR","LIB DEM AND GREEN",-6.9,"Con","Lab",47.9,41.0,4.8,2.4,231,
"Hyndburn","LABOUR","LIB DEM AND GREEN",-7.0,"Con","Lab",48.5,41.5,2.9,2.0,232,
"Broxtowe","LABOUR","LIB DEM AND GREEN",-7.2,"Con","Lab",45.2,38.0,0.5,3.0,233,
"Chipping Barnet","LABOUR","LIB DEM AND GREEN",-7.2,"Con","Lab",47.5,40.3,9.8,2.2,234,
"Ceredigion Preseli","PLAID",,-7.5,"PC","Con",28.3,20.8,14.6,1.3,,150
"Northampton North","LABOUR","LIB DEM AND GREEN",-7.7,"Con","Lab",49.8,42.1,5.7,2.5,235,
"Newton Aycliffe and Spennymoor","LABOUR","LIB DEM AND GREEN",-7.9,"Con","Lab",46.1,38.3,5.4,1.5,236,
"Hendon","LABOUR","LIB DEM AND GREEN",-8.0,"Con","Lab",48.9,40.9,8.6,1.6,237,
"Truro and Falmouth","LABOUR","LIB DEM AND GREEN",-8.1,"Con","Lab",46.8,38.8,10.8,2.8,238,
"Wrexham","LABOUR","LIB DEM AND GREEN",-8.4,"Con","Lab",46.5,38.2,4.3,0.9,239,
"Kingston upon Hull West and Haltemprice","LABOUR","LIB DEM AND GREEN",-8.7,"Con","Lab",42.5,33.8,9.2,1.1,240,
"Blackpool South","LABOUR","LIB DEM AND GREEN",-8.7,"Con","Lab",48.8,40.1,3.5,1.9,241,
"Calder Valley","LABOUR","LIB DEM AND GREEN",-9.0,"Con","Lab",51.4,42.3,5.1,0.0,242,
"Milton Keynes Central","LABOUR","LIB DEM AND GREEN",-9.4,"Con","Lab",47.5,38.1,10.4,2.5,243,
"Southampton Itchen","LABOUR","LIB DEM AND GREEN",-9.5,"Con","Lab",50.5,41.0,5.3,2.2,244,
"Clwyd East","LABOUR","LIB DEM AND GREEN",-10.0,"Con","Lab",47.9,37.9,5.3,0.0,245,
"Darlington","LABOUR","LIB DEM AND GREEN",-10.7,"Con","Lab",49.7,38.9,4.6,2.5,246,
"Redcar","LABOUR","LIB DEM AND GREEN",-10.9,"Con","Lab",47.5,36.6,4.8,1.6,247,
"Ipswich","LABOUR","LIB DEM AND GREEN",-11.1,"Con","Lab",50.3,39.3,4.9,2.6,248,
"Altrincham and Sale West","LABOUR","LIB DEM AND GREEN",-11.2,"Con","Lab",48.0,36.8,11.0,2.9,249,
"Swindon South","LABOUR","LIB DEM AND GREEN",-11.4,"Con","Lab",51.6,40.2,7.6,0.5,250,
"Cities of London and Westminster","LABOUR","LIB DEM AND GREEN",-11.5,"Con","Lab",40.3,28.9,28.2,1.9,251,50
"Bolsover","LABOUR","LIB DEM AND GREEN",-11.5,"Con","Lab",47.7,36.2,3.8,1.6,252,
"Shipley","LABOUR","LIB DEM AND GREEN",-11.6,"Con","Lab",50.8,39.2,5.9,2.4,253,
"Crewe and Nantwich","LABOUR","LIB DEM AND GREEN",-11.6,"Con","Lab",50.8,39.2,5.1,1.9,254,
"Loughborough","LABOUR","LIB DEM AND GREEN",-11.8,"Con","Lab",50.6,38.8,7.6,2.6,255,
"Tipton and Wednesbury","LABOUR","LIB DEM AND GREEN",-12.3,"Con","Lab",50.7,38.4,3.1,1.9,256,
"Rushcliffe","LABOUR","LIB DEM AND GREEN",-12.4,"Con","Lab",47.3,35.0,16.0,0.0,257,128
"Norwich North","LABOUR","LIB DEM AND GREEN",-12.6,"Con","Lab",51.6,38.9,6.2,2.3,258,
"Spen Valley","LABOUR","LIB DEM AND GREEN",-12.8,"Con","Lab",46.4,33.5,5.8,1.8,259,
"Milton Keynes North","LABOUR","LIB DEM AND GREEN",-13.1,"Con","Lab",51.6,38.5,6.7,3.1,260,
"Worcester","LABOUR","LIB DEM AND GREEN",-13.3,"Con","Lab",50.8,37.5,7.2,3.3,261,
"Rother Valley","LABOUR","LIB DEM AND GREEN",-13.5,"Con","Lab",46.1,32.6,4.8,2.5,262,
"Southport","LABOUR","LIB DEM AND GREEN",-13.6,"Con","Lab",50.4,36.8,12.5,0.4,263,
"Ashfield","LABOUR","LIB DEM AND GREEN",-13.6,"Con","Other",39.2,25.6,2.1,1.3,264,
"Shrewsbury","LABOUR","LIB DEM AND GREEN",-13.9,"Con","Lab",49.4,35.5,10.8,3.2,265,
"East Worthing and Shoreham","LABOUR","LIB DEM AND GREEN",-14.1,"Con","Lab",51.0,37.0,7.8,3.8,266,
"Caerfyrddin","LABOUR","LIB DEM AND GREEN",-14.1,"Con","PC",39.2,25.1,1.3,0.0,267,
"Penistone and Stocksbridge","LABOUR","LIB DEM AND GREEN",-14.6,"Con","Lab",47.8,33.3,10.2,0.0,268,
"Barrow and Furness","LABOUR","LIB DEM AND GREEN",-14.9,"Con","Lab",53.1,38.2,4.5,1.5,269,
"Colne Valley","LABOUR","LIB DEM AND GREEN",-15.0,"Con","Lab",51.2,36.2,7.0,1.7,270,
"Filton and Bradley Stoke","LABOUR","LIB DEM AND GREEN",-15.2,"Con","Lab",51.0,35.8,10.0,2.7,271,
"Uxbridge and South Ruislip","LABOUR","LIB DEM AND GREEN",-15.6,"Con","Lab",52.6,37.0,6.6,2.7,272,
"Mid and South Pembrokeshire","LABOUR","LIB DEM AND GREEN",-15.7,"Con","Lab",52.9,37.2,4.6,0.0,273,
"East Thanet","LABOUR","LIB DEM AND GREEN",-15.8,"Con","Lab",53.5,37.6,5.2,3.7,274,
"Corby and East Northamptonshire","LABOUR","LIB DEM AND GREEN",-16.1,"Con","Lab",54.6,38.5,6.8,0.0,275,
