Short Codes ,Utility,MRP Poll Sheet,Con,Lab,LD,Green,SNP,PC,Reform,Other,Single Top Progressive
UKPARL.2025.ABN,2,Electoral Calculus MRP (List),10.00%,28.00%,9.00%,8.00%,38.00%,0.00%,0.00%,7.00%,SNP
UKPARL.2025.ABN,3,MIC MRP (List),15.09%,28.40%,9.96%,2.49%,35.88%,0.00%,5.81%,2.37%,SNP
UKPARL.2025.ABN,4,Survation MRP (List),14.23%,27.66%,5.29%,3.72%,40.08%,NI,7.78%,1.23%,SNP
UKPARL.2025.ABN,5,AVERAGE,12.63%,27.26%,6.90%,5.57%,38.40%,0.00%,4.92%,4.31%,TRUE
UKPARL.2025.ABS,1,YOUGOV MRPs (List),20.22%,23.88%,4.72%,8.64%,34.38%,0.00%,4.26%,3.91%,SNP
UKPARL.2025.ABS,2,Electoral Calculus MRP (List),15.00%,26.00%,11.00%,7.00%,33.00%,0.00%,0.00%,8.00%,SNP
UKPARL.2025.ABS,3,MIC MRP (List),19.42%,24.21%,13.81%,3.07%,29.68%,0.00%,6.38%,3.43%,SNP
UKPARL.2025.ABS,4,Survation MRP (List),20.07%,23.50%,13.37%,4.64%,32.98%,NI,4.02%,1.42%,SNP
UKPARL.2025.ABS,5,AVERAGE,18.68%,24.40%,10.72%,5.84%,32.51%,0.00%,3.67%,4.19%,TRUE
UKPARL.2025.ABV,1,YOUGOV MRPs (List),35.39%,36.49%,6.55%,5.45%,0.00%,0.00%,15.31%,0.81%,Lab
UKPARL.2025.ABV,2,Electoral Calculus MRP (List),31.00%,47.00%,1.00%,6.00%,0.00%,0.00%,14.00%,1.00%,Lab
UKPARL.2025.ABV,3,MIC MRP (List),36.56%,40.95%,4.77%,4.88%,0.00%,0.00%,11.78%,1.06%,Lab
UKPARL.2025.ABV,4,Survation MRP (List),30.26%,38.15%,4.59%,7.69%,NI,NI,19.31%,NI,Lab
UKPARL.2025.ABV,5,AVERAGE,33.30%,40.65%,4.23%,6.01%,0.00%,0.00%,15.10%,0.96%,TRUE
UKPARL.2025.ACC,1,YOUGOV MRPs (List),22.77%,31.79%,3.07%,5.14%,30.56%,0.00%,4.27%,2.41%,Lab
UKPARL.2025.ACC,2,Electoral Calculus MRP (List),18.00%,31.00%,5.00%,7.00%,31.00%,0.00%,0.00%,8.00%,Lab
UKPARL.2025.ACC,3,MIC MRP (List),22.90%,30.28%,6.64%,0.96%,32.97%,0.00%,5.20%,1.05%,SNP
UKPARL.2025.ACC,4,Survation MRP (List),22.65%,24.76%,2.07%,0.16%,42.83%,NI,6.00%,1.53%,SNP
UKPARL.2025.ACC,5,AVERAGE,21.58%,29.46%,4.19%,3.31%,34.34%,0.00%,3.87%,3.25%,FALSE
UKPARL.2025.AFM,1,YOUGOV MRPs (List),9.16%,52.09%,5.48%,4.42%,0.00%,13.37%,12.39%,3.09%,Lab
UKPARL.2025.AFM,2,Electoral Calculus MRP (List),13.00%,58.00%,2.00%,5.00%,0.00%,11.00%,10.00%,0.00%,Lab
UKPARL.2025.AFM,3,MIC MRP (List),15.98%,54.04%,2.96%,4.22%,0.00%,10.61%,11.19%,1.01%,Lab
UKPARL.2025.AFM,4,Survation MRP (List),10.25%,53.12%,2.95%,8.73%,NI,7.10%,16.61%,1.24%,Lab
UKPARL.2025.AFM,5,AVERAGE,12.10%,54.31%,3.35%,5.59%,0.00%,10.52%,12.55%,1.33%,TRUE
UKPARL.2025.AHT,1,YOUGOV MRPs (List),32.55%,38.10%,10.55%,6.10%,0.00%,0.00%,11.88%,0.83%,Lab
UKPARL.2025.AHT,2,Electoral Calculus MRP (List),33.00%,39.00%,10.00%,5.00%,0.00%,0.00%,13.00%,0.00%,Lab
UKPARL.2025.AHT,3,MIC MRP (List),35.91%,35.53%,15.24%,4.55%,0.00%,0.00%,8.13%,0.65%,Lab
UKPARL.2025.AHT,4,Survation MRP (List),34.04%,28.54%,18.14%,4.95%,NI,NI,12.16%,2.17%,Lab
UKPARL.2025.AHT,5,AVERAGE,33.88%,35.29%,13.48%,5.15%,0.00%,0.00%,11.29%,0.91%,TRUE
UKPARL.2025.APG,1,YOUGOV MRPs (List),28.19%,22.44%,2.44%,5.07%,36.61%,0.00%,3.71%,1.55%,SNP
UKPARL.2025.APG,2,Electoral Calculus MRP (List),20.00%,23.00%,6.00%,7.00%,36.00%,0.00%,0.00%,9.00%,SNP
UKPARL.2025.APG,3,MIC MRP (List),25.23%,18.23%,13.19%,2.26%,35.54%,0.00%,4.16%,1.39%,SNP
UKPARL.2025.APG,4,Survation MRP (List),24.88%,17.09%,4.15%,NI,48.47%,NI,4.46%,0.95%,SNP
UKPARL.2025.APG,5,AVERAGE,24.57%,20.19%,6.45%,4.78%,39.15%,0.00%,3.08%,3.22%,TRUE
UKPARL.2025.ASD,1,YOUGOV MRPs (List),42.78%,23.22%,18.36%,5.26%,0.00%,0.00%,9.58%,0.80%,Lab
UKPARL.2025.ASD,2,Electoral Calculus MRP (List),38.00%,31.00%,10.00%,11.00%,0.00%,0.00%,9.00%,1.00%,Lab
UKPARL.2025.ASD,3,MIC MRP (List),34.14%,19.40%,25.10%,11.09%,0.00%,0.00%,9.43%,0.84%,LD
UKPARL.2025.ASD,4,Survation MRP (List),32.18%,25.43%,11.18%,21.64%,NI,NI,8.20%,1.36%,Lab
UKPARL.2025.ASD,5,AVERAGE,36.78%,24.76%,16.16%,12.25%,0.00%,0.00%,9.05%,1.00%,FALSE
UKPARL.2025.ASF,1,YOUGOV MRPs (List),17.67%,35.50%,6.53%,6.47%,0.00%,0.00%,20.07%,13.77%,Lab
UKPARL.2025.ASF,2,Electoral Calculus MRP (List),11.00%,31.00%,7.00%,2.00%,0.00%,0.00%,21.00%,29.00%,Lab
UKPARL.2025.ASF,3,MIC MRP (List),25.94%,44.61%,3.33%,2.06%,0.00%,0.00%,15.03%,9.03%,Lab
UKPARL.2025.ASF,4,Survation MRP (List),14.39%,28.02%,7.28%,3.16%,NI,NI,31.11%,16.04%,Lab
UKPARL.2025.ASF,5,AVERAGE,17.25%,34.78%,6.04%,3.42%,0.00%,0.00%,21.80%,16.96%,TRUE
UKPARL.2025.ASH,1,YOUGOV MRPs (List),33.24%,37.40%,6.18%,8.86%,0.00%,0.00%,13.49%,0.83%,Lab
UKPARL.2025.ASH,2,Electoral Calculus MRP (List),30.00%,40.00%,6.00%,11.00%,0.00%,0.00%,13.00%,1.00%,Lab
UKPARL.2025.ASH,3,MIC MRP (List),35.49%,35.24%,10.63%,8.66%,0.00%,0.00%,8.62%,1.35%,Lab
UKPARL.2025.ASH,4,Survation MRP (List),27.25%,39.78%,9.90%,8.67%,NI,NI,12.92%,1.48%,Lab
UKPARL.2025.ASH,5,AVERAGE,31.50%,38.11%,8.18%,9.30%,0.00%,0.00%,12.01%,1.16%,TRUE
UKPARL.2025.ASW,1,YOUGOV MRPs (List),31.57%,46.07%,7.75%,7.17%,0.00%,0.00%,6.62%,0.81%,Lab
UKPARL.2025.ASW,2,Electoral Calculus MRP (List),31.00%,48.00%,6.00%,7.00%,0.00%,0.00%,7.00%,0.00%,Lab
UKPARL.2025.ASW,3,MIC MRP (List),28.99%,46.62%,10.24%,5.10%,0.00%,0.00%,7.46%,1.60%,Lab
UKPARL.2025.ASW,4,Survation MRP (List),26.64%,46.65%,12.65%,3.71%,NI,NI,8.96%,1.39%,Lab
UKPARL.2025.ASW,5,AVERAGE,29.55%,46.84%,9.16%,5.74%,0.00%,0.00%,7.51%,0.95%,TRUE
UKPARL.2025.AUL,1,YOUGOV MRPs (List),15.74%,57.48%,4.14%,7.74%,0.00%,0.00%,14.09%,0.82%,Lab
UKPARL.2025.AUL,2,Electoral Calculus MRP (List),15.00%,57.00%,2.00%,6.00%,0.00%,0.00%,20.00%,1.00%,Lab
UKPARL.2025.AUL,3,MIC MRP (List),23.58%,56.93%,3.96%,3.65%,0.00%,0.00%,10.56%,1.32%,Lab
UKPARL.2025.AUL,4,Survation MRP (List),17.21%,58.25%,2.83%,4.65%,NI,NI,13.69%,3.37%,Lab
UKPARL.2025.AUL,5,AVERAGE,17.88%,57.41%,3.23%,5.51%,0.00%,0.00%,14.58%,1.63%,TRUE
UKPARL.2025.AYS,1,YOUGOV MRPs (List),29.71%,35.98%,18.47%,6.10%,0.00%,0.00%,9.37%,0.37%,Lab
UKPARL.2025.AYS,2,Electoral Calculus MRP (List),26.00%,38.00%,17.00%,5.00%,0.00%,0.00%,14.00%,1.00%,Lab
UKPARL.2025.AYS,3,MIC MRP (List),32.33%,31.94%,22.47%,4.18%,0.00%,0.00%,8.61%,0.48%,Lab
UKPARL.2025.AYS,4,Survation MRP (List),28.38%,30.01%,20.77%,4.91%,NI,NI,14.61%,1.33%,Lab
UKPARL.2025.AYS,5,AVERAGE,29.10%,33.98%,19.68%,5.05%,0.00%,0.00%,11.65%,0.80%,TRUE
UKPARL.2025.BAA,1,YOUGOV MRPs (List),13.89%,60.20%,5.43%,5.72%,0.00%,0.00%,14.64%,0.12%,Lab
UKPARL.2025.BAA,2,Electoral Calculus MRP (List),16.00%,58.00%,3.00%,5.00%,0.00%,0.00%,18.00%,0.00%,Lab
UKPARL.2025.BAA,3,MIC MRP (List),24.25%,52.46%,6.96%,4.90%,0.00%,0.00%,10.63%,0.81%,Lab
UKPARL.2025.BAA,4,Survation MRP (List),20.22%,51.09%,5.53%,2.53%,NI,NI,20.63%,NI,Lab
UKPARL.2025.BAA,5,AVERAGE,18.59%,55.44%,5.23%,4.54%,0.00%,0.00%,15.97%,0.31%,TRUE
UKPARL.2025.BAB,1,YOUGOV MRPs (List),35.59%,33.89%,7.59%,6.15%,0.00%,0.00%,15.96%,0.82%,Lab
UKPARL.2025.BAB,2,Electoral Calculus MRP (List),37.00%,42.00%,2.00%,6.00%,0.00%,0.00%,13.00%,1.00%,Lab
UKPARL.2025.BAB,3,MIC MRP (List),41.25%,36.92%,8.00%,3.74%,0.00%,0.00%,9.16%,0.93%,Lab
UKPARL.2025.BAB,4,Survation MRP (List),31.60%,33.49%,5.12%,4.07%,NI,NI,23.50%,2.23%,Lab
UKPARL.2025.BAB,5,AVERAGE,36.36%,36.57%,5.68%,4.99%,0.00%,0.00%,15.40%,1.24%,TRUE
UKPARL.2025.BAC,1,YOUGOV MRPs (List),17.44%,54.56%,6.40%,7.67%,0.00%,0.00%,13.68%,0.25%,Lab
UKPARL.2025.BAC,2,Electoral Calculus MRP (List),17.00%,55.00%,4.00%,5.00%,0.00%,0.00%,19.00%,1.00%,Lab
UKPARL.2025.BAC,3,MIC MRP (List),26.08%,52.37%,4.58%,4.32%,0.00%,0.00%,10.73%,1.92%,Lab
UKPARL.2025.BAC,4,Survation MRP (List),16.26%,52.00%,7.10%,2.44%,NI,NI,20.58%,1.61%,Lab
UKPARL.2025.BAC,5,AVERAGE,19.20%,53.48%,5.52%,4.86%,0.00%,0.00%,16.00%,1.19%,TRUE
UKPARL.2025.BAF,1,YOUGOV MRPs (List),36.18%,34.86%,12.05%,4.81%,0.00%,0.00%,11.28%,0.81%,Lab
UKPARL.2025.BAF,2,Electoral Calculus MRP (List),31.00%,36.00%,13.00%,7.00%,0.00%,0.00%,12.00%,0.00%,Lab
UKPARL.2025.BAF,3,MIC MRP (List),37.06%,27.09%,20.06%,5.94%,0.00%,0.00%,9.31%,0.53%,Lab
UKPARL.2025.BAF,4,Survation MRP (List),30.12%,33.55%,12.46%,11.62%,NI,NI,12.25%,NI,Lab
UKPARL.2025.BAF,5,AVERAGE,33.59%,32.88%,14.39%,7.34%,0.00%,0.00%,11.21%,0.45%,TRUE
UKPARL.2025.BAI,1,YOUGOV MRPs (List),14.94%,56.08%,11.12%,9.79%,0.00%,0.00%,7.03%,1.03%,Lab
UKPARL.2025.BAI,2,Electoral Calculus MRP (List),14.00%,56.00%,6.00%,12.00%,0.00%,0.00%,11.00%,1.00%,Lab
UKPARL.2025.BAI,3,MIC MRP (List),19.94%,57.81%,10.56%,4.57%,0.00%,0.00%,5.33%,1.79%,Lab
UKPARL.2025.BAI,4,Survation MRP (List),20.01%,40.48%,15.32%,7.96%,NI,NI,10.36%,5.89%,Lab
UKPARL.2025.BAI,5,AVERAGE,17.22%,52.59%,10.75%,8.58%,0.00%,0.00%,8.43%,2.43%,TRUE
UKPARL.2025.BAL,1,YOUGOV MRPs (List),6.25%,42.84%,3.20%,6.32%,29.74%,0.00%,4.99%,6.65%,Lab
UKPARL.2025.BAL,2,Electoral Calculus MRP (List),10.00%,35.00%,8.00%,8.00%,31.00%,0.00%,0.00%,8.00%,Lab
UKPARL.2025.BAL,3,MIC MRP (List),15.89%,30.78%,10.34%,2.50%,32.12%,0.00%,5.55%,2.81%,SNP
UKPARL.2025.BAL,4,Survation MRP (List),13.50%,35.82%,4.22%,2.78%,38.10%,NI,3.90%,1.70%,SNP
UKPARL.2025.BAL,5,AVERAGE,11.41%,36.11%,6.44%,4.90%,32.74%,0.00%,3.61%,4.79%,FALSE
UKPARL.2025.BAN,1,YOUGOV MRPs (List),32.62%,38.77%,13.02%,5.40%,0.00%,0.00%,9.36%,0.83%,Lab
UKPARL.2025.BAN,2,Electoral Calculus MRP (List),30.00%,43.00%,9.00%,5.00%,0.00%,0.00%,12.00%,1.00%,Lab
UKPARL.2025.BAN,3,MIC MRP (List),35.25%,34.20%,18.15%,4.72%,0.00%,0.00%,7.18%,0.49%,Lab
UKPARL.2025.BAN,4,Survation MRP (List),28.49%,27.82%,17.65%,13.89%,NI,NI,10.93%,1.21%,Lab
UKPARL.2025.BAN,5,AVERAGE,31.59%,35.95%,14.45%,7.25%,0.00%,0.00%,9.87%,0.88%,TRUE
UKPARL.2025.BAO,1,YOUGOV MRPs (List),40.63%,27.60%,11.88%,5.21%,0.00%,0.00%,13.87%,0.81%,Lab
UKPARL.2025.BAO,2,Electoral Calculus MRP (List),41.00%,34.00%,7.00%,6.00%,0.00%,0.00%,13.00%,1.00%,Lab
UKPARL.2025.BAO,3,MIC MRP (List),42.19%,26.44%,16.48%,3.81%,0.00%,0.00%,10.45%,0.64%,Lab
UKPARL.2025.BAO,4,Survation MRP (List),39.26%,26.00%,14.74%,5.15%,NI,NI,13.01%,1.84%,Lab
UKPARL.2025.BAO,5,AVERAGE,40.77%,28.51%,12.53%,5.04%,0.00%,0.00%,12.58%,1.07%,TRUE
UKPARL.2025.BAP,1,YOUGOV MRPs (List),22.21%,51.52%,10.64%,7.20%,0.00%,0.00%,7.61%,0.82%,Lab
UKPARL.2025.BAP,2,Electoral Calculus MRP (List),24.00%,49.00%,9.00%,7.00%,0.00%,0.00%,10.00%,0.00%,Lab
UKPARL.2025.BAP,3,MIC MRP (List),26.17%,53.75%,9.24%,3.75%,0.00%,0.00%,6.06%,1.04%,Lab
UKPARL.2025.BAP,4,Survation MRP (List),26.78%,39.93%,13.95%,9.34%,NI,NI,10.00%,NI,Lab
UKPARL.2025.BAP,5,AVERAGE,24.79%,48.55%,10.71%,6.82%,0.00%,0.00%,8.42%,0.62%,TRUE
UKPARL.2025.BAS,1,YOUGOV MRPs (List),42.64%,28.30%,4.72%,3.22%,0.00%,0.00%,20.33%,0.80%,Lab
UKPARL.2025.BAS,2,Electoral Calculus MRP (List),34.00%,38.00%,4.00%,2.00%,0.00%,0.00%,21.00%,1.00%,Lab
UKPARL.2025.BAS,3,MIC MRP (List),44.50%,31.26%,6.55%,1.61%,0.00%,0.00%,14.44%,1.65%,Lab
UKPARL.2025.BAS,4,Survation MRP (List),42.91%,27.26%,5.30%,0.85%,NI,NI,21.52%,2.15%,Lab
UKPARL.2025.BAS,5,AVERAGE,41.01%,31.20%,5.14%,1.92%,0.00%,0.00%,19.32%,1.40%,TRUE
UKPARL.2025.BAT,1,YOUGOV MRPs (List),20.33%,60.19%,7.16%,7.57%,0.00%,0.00%,3.95%,0.80%,Lab
UKPARL.2025.BAT,2,Electoral Calculus MRP (List),20.00%,56.00%,8.00%,8.00%,0.00%,0.00%,7.00%,0.00%,Lab
UKPARL.2025.BAT,3,MIC MRP (List),25.86%,57.48%,7.46%,3.74%,0.00%,0.00%,4.24%,1.22%,Lab
UKPARL.2025.BAT,4,Survation MRP (List),28.28%,48.84%,9.93%,4.07%,NI,NI,5.13%,3.75%,Lab
UKPARL.2025.BAT,5,AVERAGE,23.62%,55.63%,8.14%,5.85%,0.00%,0.00%,5.08%,1.44%,TRUE
UKPARL.2025.BAU,1,YOUGOV MRPs (List),34.23%,38.70%,6.08%,6.16%,0.00%,0.00%,14.01%,0.82%,Lab
UKPARL.2025.BAU,2,Electoral Calculus MRP (List),30.00%,43.00%,4.00%,7.00%,0.00%,0.00%,15.00%,1.00%,Lab
UKPARL.2025.BAU,3,MIC MRP (List),40.35%,41.32%,6.86%,4.77%,0.00%,0.00%,6.00%,0.69%,Lab
UKPARL.2025.BAU,4,Survation MRP (List),32.57%,40.11%,4.61%,5.43%,NI,NI,14.19%,3.09%,Lab
UKPARL.2025.BAU,5,AVERAGE,34.29%,40.78%,5.39%,5.84%,0.00%,0.00%,12.30%,1.40%,TRUE
UKPARL.2025.BBH,1,YOUGOV MRPs (List),33.99%,40.91%,8.32%,6.21%,0.00%,0.00%,9.75%,0.82%,Lab
UKPARL.2025.BBH,2,Electoral Calculus MRP (List),33.00%,40.00%,11.00%,5.00%,0.00%,0.00%,11.00%,0.00%,Lab
UKPARL.2025.BBH,3,MIC MRP (List),33.69%,41.42%,12.14%,3.45%,0.00%,0.00%,8.32%,0.99%,Lab
UKPARL.2025.BBH,4,Survation MRP (List),28.84%,36.83%,8.94%,8.55%,NI,NI,15.31%,1.54%,Lab
UKPARL.2025.BBH,5,AVERAGE,32.38%,39.79%,10.10%,5.80%,0.00%,0.00%,11.09%,0.84%,TRUE
UKPARL.2025.BBN,1,YOUGOV MRPs (List),10.88%,60.52%,5.31%,10.87%,0.00%,0.00%,9.40%,3.03%,Lab
UKPARL.2025.BBN,2,Electoral Calculus MRP (List),10.00%,59.00%,3.00%,10.00%,0.00%,0.00%,16.00%,2.00%,Lab
UKPARL.2025.BBN,3,MIC MRP (List),18.56%,63.06%,4.14%,5.93%,0.00%,0.00%,6.27%,2.05%,Lab
UKPARL.2025.BBN,4,Survation MRP (List),17.14%,60.81%,1.86%,5.01%,NI,NI,11.37%,3.81%,Lab
UKPARL.2025.BBN,5,AVERAGE,14.14%,60.85%,3.58%,7.95%,0.00%,0.00%,10.76%,2.72%,TRUE
UKPARL.2025.BCF,1,YOUGOV MRPs (List),36.85%,28.52%,12.03%,7.09%,0.00%,0.00%,12.94%,2.57%,Lab
UKPARL.2025.BCF,2,Electoral Calculus MRP (List),38.00%,29.00%,21.00%,4.00%,0.00%,0.00%,9.00%,0.00%,Lab
UKPARL.2025.BCF,3,MIC MRP (List),40.32%,33.03%,4.24%,4.08%,0.00%,0.00%,9.46%,8.88%,Lab
UKPARL.2025.BCF,4,Survation MRP (List),40.25%,21.59%,7.18%,6.67%,NI,NI,19.77%,4.55%,Lab
UKPARL.2025.BCF,5,AVERAGE,38.85%,28.04%,11.11%,5.46%,0.00%,0.00%,12.79%,4.00%,TRUE
UKPARL.2025.BDE,1,YOUGOV MRPs (List),8.79%,59.02%,8.64%,9.42%,0.00%,0.00%,9.04%,5.09%,Lab
UKPARL.2025.BDE,2,Electoral Calculus MRP (List),8.00%,55.00%,7.00%,10.00%,0.00%,0.00%,18.00%,2.00%,Lab
UKPARL.2025.BDE,3,MIC MRP (List),15.53%,63.88%,7.62%,3.91%,0.00%,0.00%,7.55%,1.52%,Lab
UKPARL.2025.BDE,4,Survation MRP (List),13.87%,46.60%,12.85%,11.69%,NI,NI,10.73%,4.26%,Lab
UKPARL.2025.BDE,5,AVERAGE,11.55%,56.13%,9.03%,8.75%,0.00%,0.00%,11.33%,3.22%,TRUE
UKPARL.2025.BDS,1,YOUGOV MRPs (List),19.08%,53.29%,3.51%,8.74%,0.00%,0.00%,14.56%,0.83%,Lab
UKPARL.2025.BDS,2,Electoral Calculus MRP (List),17.00%,52.00%,2.00%,8.00%,0.00%,0.00%,20.00%,1.00%,Lab
UKPARL.2025.BDS,3,MIC MRP (List),23.85%,55.04%,4.25%,4.83%,0.00%,0.00%,10.38%,1.66%,Lab
UKPARL.2025.BDS,4,Survation MRP (List),18.56%,48.53%,2.77%,9.21%,NI,NI,15.50%,5.43%,Lab
UKPARL.2025.BDS,5,AVERAGE,19.62%,52.21%,3.13%,7.69%,0.00%,0.00%,15.11%,2.23%,TRUE
UKPARL.2025.BDW,1,YOUGOV MRPs (List),5.73%,66.40%,3.34%,11.77%,0.00%,0.00%,5.99%,6.77%,Lab
UKPARL.2025.BDW,2,Electoral Calculus MRP (List),5.00%,61.00%,2.00%,13.00%,0.00%,0.00%,16.00%,3.00%,Lab
UKPARL.2025.BDW,3,MIC MRP (List),12.34%,71.49%,3.57%,5.07%,0.00%,0.00%,4.31%,3.21%,Lab
UKPARL.2025.BDW,4,Survation MRP (List),8.47%,70.79%,1.80%,9.10%,NI,NI,6.24%,3.59%,Lab
UKPARL.2025.BDW,5,AVERAGE,7.88%,67.42%,2.68%,9.74%,0.00%,0.00%,8.14%,4.14%,TRUE
UKPARL.2025.BEA,1,YOUGOV MRPs (List),11.11%,62.26%,8.33%,11.23%,0.00%,0.00%,5.68%,1.40%,Lab
UKPARL.2025.BEA,2,Electoral Calculus MRP (List),9.00%,60.00%,5.00%,13.00%,0.00%,0.00%,11.00%,2.00%,Lab
UKPARL.2025.BEA,3,MIC MRP (List),17.57%,65.66%,6.09%,5.15%,0.00%,0.00%,3.85%,1.69%,Lab
UKPARL.2025.BEA,4,Survation MRP (List),16.79%,44.69%,11.79%,7.96%,NI,NI,6.77%,12.01%,Lab
UKPARL.2025.BEA,5,AVERAGE,13.62%,58.15%,7.80%,9.33%,0.00%,0.00%,6.82%,4.28%,TRUE
UKPARL.2025.BEB,1,YOUGOV MRPs (List),19.02%,58.50%,5.17%,8.07%,0.00%,0.00%,8.42%,0.82%,Lab
UKPARL.2025.BEB,2,Electoral Calculus MRP (List),18.00%,56.00%,5.00%,8.00%,0.00%,0.00%,12.00%,1.00%,Lab
UKPARL.2025.BEB,3,MIC MRP (List),25.09%,58.66%,5.55%,4.25%,0.00%,0.00%,4.93%,1.51%,Lab
UKPARL.2025.BEB,4,Survation MRP (List),21.56%,51.36%,7.82%,6.97%,NI,NI,8.11%,4.19%,Lab
UKPARL.2025.BEB,5,AVERAGE,20.92%,56.13%,5.89%,6.82%,0.00%,0.00%,8.37%,1.88%,TRUE
UKPARL.2025.BED,1,YOUGOV MRPs (List),23.69%,52.15%,4.90%,8.25%,0.00%,0.00%,10.19%,0.82%,Lab
